lowerVal,val,upperVal,year
0.034995360976087235,0.042223303765402745,0.04962971056167328,1983
0.018278243609516225,0.038621345839145005,0.0590959711050645,1988
0.029160542818642058,0.049332627472698606,0.06903652089129501,1989
0.016251365520527257,0.03345098228724793,0.05012306887409147,1990
0.024738865871386486,0.039639654198427104,0.05445635175572461,1991
0.028520622167628844,0.04193770114231948,0.055700141426025467,1992
0.02068718870172561,0.03444797323226628,0.04716131372463017,1993
0.03047902188460986,0.042887937117215655,0.05590954339017463,1994
0.02525897766823481,0.037316941188069434,0.049877975191450104,1995
0.011656650330156993,0.02420717109332644,0.03638602773656499,1996
0.06739170016767983,0.07885202946554548,0.08954810527271098,1997
0.03501121799996608,0.04411127767718076,0.05362236458876846,1998
0.03537689827781955,0.043704536536901636,0.0518796234850291,1999
0.009742264326013392,0.017605077271497228,0.025723920927511294,2000
0.051970055012398146,0.059834758079025815,0.06750180700149407,2001
0.03291516745581272,0.040454018542092296,0.04793597515359103,2002
0.010986102668426341,0.018169602531620786,0.02576739093182541,2003
0.04302787182193273,0.050459193884199116,0.0577105186324103,2004
0.023686756900850637,0.030789220245548497,0.0375061980342485,2005
0.007853562977090275,0.014987847744131207,0.02202549474304662,2006
0.010511195212041621,0.01835377749958495,0.02582369025332835,2007
0.049672951251823104,0.057205388289938375,0.0652753010241226,2008
0.01486364755791536,0.021934218321398576,0.028938282828667165,2009
0.006261682289929428,0.01325282984327436,0.02066322599985657,2010
0.01294725807257617,0.02027814380732899,0.02764457997408053,2011
0.018497372512651884,0.026550050158853603,0.034193434045087984,2012
0.022876043351571385,0.03162691337391009,0.0406384032301573,2013
0.008504783395986136,0.01823366872772664,0.027284619830449917,2014
0.024449477146758,0.03294859857012303,0.04147104213684195,2015
0.0038531200219909727,0.011859351787103234,0.020452697086015593,2016
0.0085393858112754,0.01672793425159478,0.02489532583801406,2017
0.032395713289002856,0.04471373139754006,0.05665711524294388,2018
