lowerVal,val,upperVal,year,iFold
0.017447916507231587,0.018653069806572012,0.0201058634349753,1983,All
0.015739960053983624,0.016466306001573332,0.017880465225406435,1988,All
0.015601730348402447,0.01624113496471822,0.0174585836556785,1989,All
0.015463500642821273,0.0160159639278631,0.017036702085950563,1990,All
0.015325270937240098,0.015790792891007984,0.016614820516222626,1991,All
0.015187041231658923,0.015565621854152868,0.016192938946494692,1992,All
0.01504881152607775,0.015340450817297752,0.01577105737676675,1993,All
0.014910581820496576,0.015115279780442636,0.015349175807038817,1994,All
0.014772352114915403,0.01489010874358752,0.014987881553448412,1995,All
0.014502266023826812,0.014642389561356144,0.014676728307498813,1996,All
0.014083531097855005,0.014417591805304324,0.014501436419896293,1997,All
0.01366164952812707,0.014197160349764957,0.014362021818986182,1998,All
0.012939400574859365,0.013398096120203384,0.013547112512311431,1999,All
0.01221715162159166,0.012595915520212166,0.012732982298244095,2000,All
0.011494902668323956,0.011786575463807163,0.011920641948280202,2001,All
0.010772653715056254,0.010977235407402159,0.011108301598316307,2002,All
0.01005040476178855,0.010167895350997156,0.010295961248352418,2003,All
0.009292525619274489,0.009358555294592154,0.009483620898388525,2004,All
0.008510662920844122,0.008593999505974679,0.008671280548424632,2005,All
0.007717612728598305,0.00780464651327238,0.007900125866033433,2006,All
0.0069076910705716445,0.007002675237104702,0.007174072531119706,2007,All
0.006095710876961344,0.006201264986133896,0.006449937475490401,2008,All
0.005282593325035755,0.005404404168424253,0.005725802419861096,2009,All
0.005742208299088151,0.005835949831535147,0.006020841579243603,2010,All
0.006201823273140548,0.006267495494646042,0.00631588073862611,2011,All
0.006603140858045136,0.006674693595559331,0.006721978417486714,2012,All
0.006900386324723077,0.007117798298788249,0.007161499504949169,2013,All
0.007195536511819428,0.007557411845419715,0.007604393097547006,2014,All
0.0074906866989157776,0.007987403449586126,0.008049692175761108,2015,All
0.007785836886012129,0.008417395053752538,0.008507094982041042,2016,All
0.00808098707310848,0.008847386657918947,0.008966987443115719,2017,All
0.00837613726020483,0.009277378262085358,0.00942687990419039,2018,All
