lowerVal,val,upperVal,year,iFold
0.0202554116991241,0.026614297944556626,0.03119087412542954,1984,All
0.012567604714821101,0.016361593819683388,0.019171614048866456,1988,All
0.01277526208349192,0.01607888331917411,0.018472803482412634,1989,All
0.012982919452162742,0.01579617281866483,0.017773992915958804,1990,All
0.013190576820833563,0.015513462318155551,0.01707518234950498,1991,All
0.013398234189504386,0.015230751817646273,0.016376371783051152,1992,All
0.013605891558175206,0.014927292480904152,0.015682748425655535,1993,All
0.013813548926846027,0.014544403002411898,0.015008982603697454,1994,All
0.013940204752605262,0.014161513523919648,0.014627777828928261,1995,All
0.013555165202187068,0.013778624045427394,0.014431695216189722,1996,All
0.012868842811135567,0.013395734566935144,0.014555363359546124,1997,All
0.012182520420084067,0.01301284508844289,0.014775577297310362,1998,All
0.01182011672777036,0.012529343373519745,0.014055571176864994,1999,All
0.011456725071212526,0.012049793515573105,0.013335565056419628,2000,All
0.011052035582147067,0.011570243657626461,0.01261555893597426,2001,All
0.010456738923640027,0.01109069379967982,0.011895552815528895,2002,All
0.00986144226513299,0.010567282022700446,0.01118651217484171,2003,All
0.009230137673424222,0.01012575523292536,0.010493008220555183,2004,All
0.00858892628264574,0.009652044225839894,0.009817457119665966,2005,All
0.007947714891867259,0.00911844853441622,0.009442431367646244,2006,All
0.007306503501088779,0.00851035101664751,0.009099920236091515,2007,All
0.006665292110310295,0.007902253498878803,0.008757409104536786,2008,All
0.006024080719531816,0.0072941559811100926,0.008414897972982059,2009,All
0.006657398110377533,0.007557480584886497,0.008825060486492904,2010,All
0.007279190482196986,0.007866905264767953,0.009751557428044197,2011,All
0.007573185634468635,0.008475004252090686,0.010682062647255833,2012,All
0.007613192776122267,0.009083103239413418,0.01161256786646747,2013,All
0.007653199917775896,0.009691202226736152,0.012543073085679106,2014,All
0.007693207059429528,0.010299301214058885,0.013473578304890743,2015,All
0.0077332142010831575,0.010829626610452779,0.014423526921834589,2016,All
0.007773221342736789,0.011291434617734828,0.015390604886056397,2017,All
0.007782588054297629,0.011861296456778064,0.016361309822430697,2018,All
0.007784069632457594,0.012462698829424803,0.017332014758804998,2019,All
