lowerVal,val,upperVal,year
0.03309580039143797,0.03813410888937112,0.04289098510164083,1983
0.026886872876017355,0.04100360249950078,0.05513193945199546,1988
0.021723148034718465,0.037235589232434585,0.05297802625766771,1989
0.024584892864290015,0.038973749140841896,0.05308455214757815,1990
0.02110618444231225,0.03395647813390201,0.046527262146421056,1991
0.02381631543460813,0.03473747405540635,0.04595936039436819,1992
0.03215946488793665,0.04283000137865908,0.053601712815491975,1993
0.019093939869309767,0.029576202008729242,0.0401177766317186,1994
0.0281725821398357,0.038905278580552705,0.04937242092891688,1995
0.012432666065849,0.023441590777135313,0.03487362809444058,1996
0.05993813667891796,0.0713733852301797,0.08178908480298569,1997
0.034570643630329426,0.04294953964580049,0.05138896891035631,1998
0.029163816853413568,0.036222747209373685,0.04321671058037279,1999
0.006231412076723701,0.012791276869755008,0.019780168319320456,2000
0.06207616052417691,0.06915215956310633,0.07596992603070486,2001
0.015558133991246519,0.022272535939917237,0.029051519809316688,2002
0.01726499515576586,0.024020947845393645,0.031017060317135293,2003
0.04112714635363939,0.04822599444976739,0.05533452163112572,2004
0.016687163723770836,0.0233646719335633,0.029996679077373956,2005
0.005676596172656902,0.012649714314103597,0.019899754433807256,2006
0.014186772261167636,0.021409836093412793,0.028376437539972564,2007
0.051984542155667626,0.05953060304004057,0.06668544374391486,2008
0.0025484394926479146,0.008808698873467278,0.01597667955960897,2009
0.007305314314336551,0.01505770724127843,0.022818103528939558,2010
0.008828239842749297,0.016575548807381817,0.02435111581312779,2011
0.01949907838338526,0.027524766064000825,0.03552838658180684,2012
0.022580003397064168,0.03173641163134415,0.040497724270196926,2013
0.008231070858992738,0.01664870736400166,0.0259887053395686,2014
0.023662861154094734,0.031152033430351826,0.0381652863322343,2015
4.61783561524994e-4,0.0028957316389020627,0.008053831739175857,2016
0.010129403656065274,0.01760108318578863,0.02510207662277931,2017
0.04835603141485341,0.06129801769438548,0.07406682721520573,2018
