year,val,upperVal,lowerVal
1985,0.05713713926490975,0.12360199787040622,0.009969556448422241
1988,0.030621045751970333,0.07955615375941145,0.004469104480089402
1989,0.021277368584358972,0.05487767334363211,0.00376119927184406
1990,0.014626288020378873,0.04297682445720931,0.002136823907534444
1991,0.017747858143795286,0.04825066018705004,0.0028904049395517685
1992,0.026215449364164346,0.06495824640020964,0.00447827628410007
1993,0.037789612103152376,0.081644020691159655,0.007277338075803765
1994,0.013124786764738699,0.03892602604636764,0.0019368809647241985
1995,0.009856661592305162,0.030136384002218672,0.0014676268619261738
1996,0.011204785406795068,0.03388266175232846,0.0019161339845340168
1997,0.009366802381605813,0.02885746668676312,0.001399760764515446
1998,0.04295277006646222,0.0607413894295256,0.023430803794146686
1999,0.027379939677310623,0.04327714440145967,0.01385712390603547
2000,0.0023773414189095093,0.007145396945277538,3.7190502981026814e-4
2001,0.013759134830613516,0.025020172623580736,0.004040746320360362
2002,0.004736555421934971,0.012351651655141719,7.161802123828832e-4
2003,0.027377843200218653,0.06258391314808952,0.00498677123707124
2004,0.0070785798890070015,0.014339041790837666,0.0016049249015820174
2005,0.009119854316327277,0.01681505424367062,0.0027130904617437015
2006,0.0200894556255382,0.027169137452909838,0.01268946535990304
2007,0.011064154639138199,0.017621162778575165,0.004731290282857516
2008,0.03449309363221581,0.10201989641358757,0.005942686361862225
2009,0.027602896934980352,0.0795505244482198,0.004479134940814615
2010,0.021749344835304864,0.06807792084067668,0.003626714255733491
2011,0.02113500181901104,0.0633828932585984,0.0032775008413863434
2012,0.020555525176768216,0.06420440529821095,0.0028561313188226888
2013,0.02113089115158414,0.06301698583985425,0.0031167133196670334
2014,0.020926482362123158,0.06770006253180812,0.003312287733781236
2015,0.004994823784476046,0.016157245912193995,7.472243485200715e-4
2016,0.005633977934757054,0.015182584074220419,0.00107032099166733
2017,0.005640273347754281,0.017726896845852914,7.530992879491393e-4
2018,0.05688291137685379,0.07651287361732907,0.03737825527820176
2019,0.026059533992569786,0.07074967500415587,0.004077837388583865
