lowerVal,val,upperVal,year,iFold
0.0221602435590915,0.030801004101140367,0.04031555824746259,1984,All
0.03299185261139274,0.03788340064492643,0.04336237624543206,1988,All
0.031015772935189215,0.03527018706808967,0.04003548108046584,1989,All
0.029039693258985692,0.032656973491252905,0.03670858591549962,1990,All
0.027063613582782173,0.030043759914416133,0.03338169075053341,1991,All
0.025087533906578648,0.027430546337579367,0.030069593557195472,1992,All
0.023111454230375125,0.024817332760742602,0.02680585707412181,1993,All
0.021135374554171603,0.022204119183905836,0.023542120591048144,1994,All
0.019159294877968084,0.01959090560706907,0.02027838410797448,1995,All
0.016722324483783788,0.017077253797906453,0.017260511503347505,1996,All
0.013420319760736108,0.014364478453395538,0.015207135525561037,1997,All
0.010093424595769892,0.011751264876558773,0.013231055849357517,1998,All
0.010417355544742813,0.01191441992155514,0.013058620076328064,1999,All
0.010741286493715732,0.012077574966551506,0.012886184303298609,2000,All
0.011065217442688654,0.012240730011547874,0.01283946423168597,2001,All
0.011389148391661576,0.012192867197817498,0.012910594010011503,2002,All
0.011707951458022874,0.012065015326717013,0.013247420340151538,2003,All
0.011802686815002445,0.012071062583962226,0.013584246670291573,2004,All
0.011748529951549406,0.012278601708155486,0.01392107300043161,2005,All
0.011675247080541332,0.012562644862568884,0.014257899330571646,2006,All
0.011505251475096895,0.012819838429413694,0.014601438057603828,2007,All
0.011322830603903999,0.012947661934079174,0.014977319300180845,2008,All
0.011140409732711104,0.013075485438744653,0.01535320054275786,2009,All
0.01241458285131673,0.01407334999467322,0.015524038132363936,2010,All
0.013596633772934182,0.014731925663537353,0.01642894288873216,2011,All
0.014621105629246543,0.015363711150918797,0.018009066010552476,2012,All
0.015221808424320445,0.016039622240675684,0.019630908107959887,2013,All
0.015692621410394417,0.017159881028399507,0.021252750205367293,2014,All
0.01588981408037328,0.0181333362217865,0.022924327350842225,2015,All
0.01599268804267935,0.01905179293702777,0.024609654115853592,2016,All
0.016095562004985416,0.019970249652269036,0.026294980880864953,2017,All
0.01619843596729148,0.020888706367510303,0.027980307645876314,2018,All
0.01630130992959755,0.021807163082751574,0.02966563441088768,2019,All
