Age,Kappa
0,1
1,1
2,1
3,1.0030806596596604
4,1.0030806596596604
5,1.0030806596596604
6,1.217399377351823
7,1.217399377351823
8,1.217399377351823
9,1.2390546442611188
10,1.2390546442611188
11,1.2390546442611188
12,1.3835126319397173
13,1.3835126319397173
14,1.3835126319397173
15,1.188618512291745
16,1.188618512291745
17,1.188618512291745
18,0.9835838259434952
19,0.9835838259434952
20,0.9835838259434952
21,0.8674501148609264
22,0.8674501148609264
23,0.8674501148609264
24,0.8225204459502169
25,0.8225204459502169
26,0.8225204459502169
27,0.8507885764109695
28,0.8507885764109695
29,0.8507885764109695
30,0.803323415509745
31,0.803323415509745
32,0.803323415509745
33,0.803323415509745
34,0.803323415509745
35,0.803323415509745
36,0.803323415509745
37,0.803323415509745
38,0.803323415509745
39,0.803323415509745
40,0.8010629651727526
41,0.8010629651727526
42,0.8010629651727526
43,0.8010629651727526
44,0.8010629651727526
45,0.8010629651727526
46,0.8010629651727526
47,0.8010629651727526
48,0.8010629651727526
49,0.8010629651727526
50,0.937790973387684
51,0.937790973387684
52,0.937790973387684
53,0.937790973387684
54,0.937790973387684
55,0.937790973387684
56,0.937790973387684
57,0.937790973387684
58,0.937790973387684
59,0.937790973387684
60,1.1075763271254406
61,1.1075763271254406
62,1.1075763271254406
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
