year,age,S,Val,lowerVal,upperVal
1998,3,0,0.4881819540958668,0.4881819540958668,0.4881819540958668
1998,3,1,0.38339828839327844,0.38339828839327844,0.38339828839327844
1998,3,2,0.11291454419013827,0.11291454419013827,0.11291454419013827
1998,3,3,0.014779749850095473,0.014779749850095473,0.014779749850095473
1998,3,4,7.254634706210704e-4,7.254634706210704e-4,7.254634706210704e-4
1998,4,0,0.43027152679850217,0.43027152679850217,0.43027152679850217
1998,4,1,0.4039530990174961,0.4039530990174961,0.4039530990174961
1998,4,2,0.14221668415406438,0.14221668415406438,0.14221668415406438
1998,4,3,0.02225295219334459,0.02225295219334459,0.02225295219334459
1998,4,4,0.0013057378365928026,0.0013057378365928026,0.0013057378365928026
1998,5,0,0.3665514023462367,0.3665514023462367,0.3665514023462367
1998,5,1,0.41814258282968053,0.41814258282968053,0.41814258282968053
1998,5,2,0.17887315918347288,0.17887315918347288,0.17887315918347288
1998,5,3,0.03400818380047767,0.03400818380047767,0.03400818380047767
1998,5,4,0.002424671840132204,0.002424671840132204,0.002424671840132204
1998,6,0,0.30214895299786826,0.30214895299786826,0.30214895299786826
1998,6,1,0.421547594032328,0.421547594032328,0.421547594032328
1998,6,2,0.2205481422382648,0.2205481422382648,0.2205481422382648
1998,6,3,0.05128350206434777,0.05128350206434777,0.05128350206434777
1998,6,4,0.004471808667191181,0.004471808667191181,0.004471808667191181
1998,7,0,0.24112020393702996,0.24112020393702996,0.24112020393702996
1998,7,1,0.4118891686582905,0.4118891686582905,0.4118891686582905
1998,7,2,0.26385079592239946,0.26385079592239946,0.26385079592239946
1998,7,3,0.07511971429451231,0.07511971429451231,0.07511971429451231
1998,7,4,0.008020117187767737,0.008020117187767737,0.008020117187767737
1998,8,0,0.20143829071193933,0.20143829071193933,0.20143829071193933
1998,8,1,0.3969723181064229,0.3969723181064229,0.3969723181064229
1998,8,2,0.2933659375021818,0.2933659375021818,0.2933659375021818
1998,8,3,0.09635552725362306,0.09635552725362306,0.09635552725362306
1998,8,4,0.011867926425832898,0.011867926425832898,0.011867926425832898
1998,9,0,0.16490355480379257,0.16490355480379257,0.16490355480379257
1998,9,1,0.3754862481051158,0.3754862481051158,0.3754862481051158
1998,9,2,0.3206190491553021,0.3206190491553021,0.3206190491553021
1998,9,3,0.12167520583126659,0.12167520583126659,0.12167520583126659
1998,9,4,0.017315942104522954,0.017315942104522954,0.017315942104522954
1998,10,0,0.13583142845284782,0.13583142845284782,0.13583142845284782
1998,10,1,0.3516478194443163,0.3516478194443163,0.3516478194443163
1998,10,2,0.3413869041440255,0.3413869041440255,0.3413869041440255
1998,10,3,0.14730017664353917,0.14730017664353917,0.14730017664353917
1998,10,4,0.02383367131527117,0.02383367131527117,0.02383367131527117
1998,11,0,0.11157294844078892,0.11157294844078892,0.11157294844078892
1998,11,1,0.3259070976252007,0.3259070976252007,0.3259070976252007
1998,11,2,0.35699324220215206,0.35699324220215206,0.35699324220215206
1998,11,3,0.17379755138355085,0.17379755138355085,0.17379755138355085
1998,11,4,0.03172916034830747,0.03172916034830747,0.03172916034830747
1998,12,0,0.08949526882616583,0.08949526882616583,0.08949526882616583
1998,12,1,0.29651952468886833,0.29651952468886833,0.29651952468886833
1998,12,2,0.36841540483760465,0.36841540483760465,0.36841540483760465
1998,12,3,0.2034415937351469,0.2034415937351469,0.2034415937351469
1998,12,4,0.0421282079122143,0.0421282079122143,0.0421282079122143
1998,13,0,0.07029599580460467,0.07029599580460467,0.07029599580460467
1998,13,1,0.2648981053181169,0.2648981053181169,0.2648981053181169
1998,13,2,0.37433323227351417,0.37433323227351417,0.37433323227351417
1998,13,3,0.2351014991486544,0.2351014991486544,0.2351014991486544
1998,13,4,0.05537116745510984,0.05537116745510984,0.05537116745510984
1998,14,0,0.056908461885996936,0.056908461885996936,0.056908461885996936
1998,14,1,0.2384270069790264,0.2384270069790264,0.2384270069790264
1998,14,2,0.3745978790302147,0.3745978790302147,0.3745978790302147
1998,14,3,0.26157284920939095,0.26157284920939095,0.26157284920939095
1998,14,4,0.06849380289537096,0.06849380289537096,0.06849380289537096
