lowerVal,val,upperVal,year
0.00717205750814818,0.030044539815338882,0.062062947272861935,1984
0.009092417663573984,0.042410500198343457,0.08855993482220036,1988
0.012490822302982898,0.04781150821377002,0.09023958773500142,1989
0.005239209073152009,0.027659639345502023,0.06159728731952939,1990
0.003854754088724989,0.02166814166600996,0.051590275250763075,1991
0.004288169114623817,0.02266990059383755,0.05091861117906153,1992
0.006623692729993971,0.027792315841769007,0.055095922242755994,1993
0.0020851370287198827,0.012311671931162057,0.032383432823766586,1994
0.0033729575332815637,0.01730241325596809,0.03987741135985746,1995
0.003998069168600236,0.020597262496151555,0.045968338820342125,1996
0.006174195052802942,0.025565087186022517,0.04760489677383922,1997
0.0018790914301206238,0.011510461643345161,0.029303210766291124,1998
0.0014910155492393671,0.00892980926174239,0.022001946731052144,1999
0.0012872096327480077,0.008278490747014105,0.021913164290067153,2000
0.00579435911803111,0.020204856720962176,0.036917807360504575,2001
0.0027670672565257622,0.014396993423844345,0.0327180158127117,2002
0.004446810983692438,0.018769217302457543,0.03544627765001305,2003
0.0017744198999580902,0.010336397402709578,0.02547245598478469,2004
0.0012391962867521907,0.007292549837362581,0.018941991607159325,2005
0.0013408512753860806,0.009076654850235415,0.023236594179120103,2006
0.0011804071768448134,0.007703112441793643,0.02041775092917555,2007
0.0020335252107291342,0.012236098521377269,0.02887688918097278,2008
0.0020127705241626374,0.011402291848992885,0.028452074613366015,2009
0.0034844861504267355,0.019401510753747367,0.045311500848009896,2010
0.002708409329441978,0.016860875185629322,0.048729205083572466,2011
0.0027742737315480034,0.017479524686960398,0.05067658895262663,2012
0.0026541951119303884,0.01756659211628381,0.05350824342554316,2013
0.0022293589663000242,0.015699752415386126,0.04926609635028325,2014
0.002011380542993484,0.013371777243608409,0.03826776792734561,2015
0.0014117877779219316,0.009713514574481389,0.028278645051990337,2016
0.001401900974184851,0.009760765533324419,0.028559933632209385,2017
0.001780423459886205,0.011222324767032773,0.03304173417572995,2018
0.0037401857452801137,0.02520371617334496,0.08358957159735819,2019
