lowerVal,val,upperVal,year
0.007063158695897928,0.03446226239207351,0.07998391344487361,1984
0.012422024606580498,0.06040262812555168,0.12347774268919497,1988
0.013097337192053015,0.058289638755408366,0.11614217202464022,1989
0.010384850219447178,0.0491301752063644,0.10506105511421,1990
0.011458267791867604,0.04833665425365469,0.09988002228574959,1991
0.00830221170286799,0.03898954409586558,0.08413593916837006,1992
0.012601182233672006,0.044896023846474814,0.08174973469403787,1993
0.00286541166453435,0.017949354268828457,0.04605750837162949,1994
0.0032364421601612163,0.018604966932950794,0.04708932203570193,1995
0.0073854877701271665,0.03371445670561188,0.06798178368471015,1996
0.011116339320675218,0.03985577532118212,0.07344128969770286,1997
0.004016672254331713,0.020332733282536895,0.04576806544869894,1998
0.004228524214095396,0.019913835072985348,0.04346007829235786,1999
0.0037320812488557484,0.0196532985716796,0.04379547892681248,2000
0.005017887381935594,0.021972420824578343,0.04321473617469536,2001
0.0033054843329355576,0.016784568040956828,0.038294068514592126,2002
0.002291484969387906,0.013400807984431322,0.03203872338175429,2003
0.0019567089412855067,0.011111202539579031,0.0274684446216141,2004
0.001450585256598423,0.008985264635681976,0.023460846440230217,2005
0.0022213866660559596,0.013392793654031286,0.03160156483634802,2006
0.0016643358220639714,0.009678104031142281,0.02536226618631678,2007
0.0034163912929988274,0.021077227946513934,0.048775175787592294,2008
0.0030925232567279347,0.019626442416393417,0.046683793006276786,2009
0.007670732744647485,0.037997551904497995,0.08011159215112715,2010
0.003571419153438658,0.02388826896062997,0.06965761848128288,2011
0.0031106236115670347,0.022001333935874688,0.06518267422451839,2012
0.0031759837098992573,0.021451717422167196,0.06475922268210722,2013
0.002988373569688254,0.020328493065059836,0.060011224924833385,2014
0.0026702942102751967,0.0168505000062873,0.04812943985363987,2015
0.0022171994271766838,0.013899169020463007,0.03904784011334375,2016
0.002442173273474996,0.015262699962039033,0.04213017760138839,2017
0.002927156301796456,0.017970475250755805,0.048139148222095585,2018
0.004916753192495466,0.032127823843148606,0.09672726460154411,2019
