year,val,upperVal,lowerVal
1984,0.04316267071995959,0.13183834339689027,0.006852168720934187
1988,0.04364568977999303,0.13036376713443532,0.0073270546760163735
1989,0.04336748078074604,0.13937902627053014,0.006522466382936759
1990,0.04330019446510077,0.13136299466754528,0.006701370596320605
1991,0.04257518821885681,0.13653630599651484,0.006047906763550842
1992,0.04261153690755978,0.1348648839652294,0.0065689980440455905
1993,0.04487423967605403,0.1377996640557411,0.006989698525245041
1994,0.042609086250591344,0.13348762536892486,0.006254818273262912
1995,0.04254652033687588,0.13406333992096042,0.006617444984928003
1996,0.04288200098570488,0.13434573491158674,0.006267857305421949
1997,0.04252059210538893,0.13605959938624035,0.005914151485661328
1998,0.08524807714854943,0.09794813935989921,0.0750223487400877
1999,0.08149968002088018,0.09306301148354945,0.07180111884967444
2000,0.03893984595505812,0.047559296297845007,0.03194708991515353
2001,0.08535942988568754,0.09586690610158649,0.07564192565521886
2002,0.03247911139192898,0.041219694704002476,0.024583788584728147
2003,0.04208695352687004,0.13691976414656692,0.006320456727934207
2004,0.011876368833351412,0.017798461990396672,0.006822176448110742
2005,0.025863853778893726,0.032078823642436645,0.02020195814969759
2006,0.02807813229342862,0.03395241201894409,0.022703306631879597
2007,0.024320927321097533,0.030076086575927995,0.019534762445810608
2008,0.04265055762568287,0.13513556596842832,0.006375956611065461
2009,0.041042448872543345,0.13301975722355755,0.00520443405735634
2010,0.04403697177144397,0.13563369347191218,0.007688542144905273
2011,0.04115017213852474,0.13333518602881883,0.006569232016822688
2012,0.04248342145271121,0.13165881559344803,0.006088278699756841
2013,0.04259765779800711,0.1319838607115615,0.006309597117322163
2014,0.04180721718529182,0.1366344541051441,0.006251265154401197
2015,0.01431023789671158,0.031205904854892275,0.0036325283723388094
2016,0.01253564222626484,0.02295881565851979,0.005005063489853294
2017,0.005269999630979241,0.014752524736197295,8.643896495507949e-4
2018,0.04728380503714237,0.0621238870023182,0.03383694081039471
2019,0.023098909394288592,0.06337108683262406,0.003938865438640991
