year,val,upperVal,lowerVal
1983,0.0376782757339474,0.04245513322098423,0.032698204234353226
1988,0.03893098142217703,0.05210529070283901,0.025068209070270932
1989,0.041127562074335634,0.05583359364320901,0.02746689222556402
1990,0.039324079125937925,0.052538574072141464,0.025782558098222386
1991,0.033315135769141746,0.04591285869425104,0.021091812158306987
1992,0.03390217416756744,0.04484644683656354,0.022998675580821613
1993,0.043229593654927755,0.05429019657981124,0.032080497313851854
1994,0.030547881043817407,0.040978933699730685,0.020064696635933185
1995,0.03731412032593372,0.04685088335780263,0.026821380326192964
1996,0.027126625041509846,0.0378234908734154,0.017189157218784213
1997,0.06696862184388529,0.07574472978241709,0.05748023824333969
1998,0.044044550022877514,0.05177708354446327,0.03606979111290801
1999,0.03691605319978303,0.04376571924143634,0.030263211228470647
2000,0.012577147666002274,0.019639785562150146,0.005803691635264623
2001,0.06994992721227875,0.07674253276318817,0.06309020920703867
2002,0.02223991851996,0.028976247869395445,0.015363763423253482
2003,0.024008456319154152,0.03109711295804359,0.017097595812778688
2004,0.04709313960727671,0.05368391872452491,0.04034529913696106
2005,0.023211824312869427,0.0298451456864934,0.016433002711097742
2006,0.014671445378017959,0.021176227980927925,0.008436902857347398
2007,0.020412838629293877,0.02740983267382554,0.013791196314595187
2008,0.060822962805535064,0.06744403059918735,0.05372318920747401
2009,0.008709580900439176,0.015343144602024305,0.0029334105456176422
2010,0.012977431616033023,0.01957342045911587,0.006112943600780536
2011,0.017989359979448026,0.025125408520559306,0.010276131063940147
2012,0.02814139703340222,0.036072007679101036,0.020314143863735125
2013,0.029483563713834916,0.037684540150784776,0.020692216930093044
2014,0.018966819811940965,0.02743701823590688,0.010730428260829419
2015,0.03132353427456916,0.03796655608259881,0.023740180198760896
2016,0.0026772364852720243,0.007733294886998293,4.073244727866731e-4
2017,0.017149807010640214,0.02406442341734696,0.010087708660141978
2018,0.06306394588499414,0.07600963167549148,0.05172978892917931
