year,val,upperVal,lowerVal
1983,0.023774668737441773,0.026852679993304488,0.020643630203924367
1988,0.02313498738380948,0.031160950740082186,0.013891596709199974
1989,0.025401642043236246,0.03431367556256377,0.016818444845497073
1990,0.018295474164166655,0.026210167997152825,0.010597027264066779
1991,0.02311374455586354,0.029784894736032574,0.016203958468866037
1992,0.017743543572080224,0.023947251130046754,0.01169221670839852
1993,0.019365762800781124,0.025070587069880277,0.013733823010991663
1994,0.008651296278419564,0.013820009163629984,0.003002590666117839
1995,0.018588019080059817,0.023995833812993413,0.013250773528699474
1996,0.011991698280672439,0.017366996872189924,0.006803643979995438
1997,0.019738502283378964,0.024654257276384574,0.014212527337066705
1998,0.012414825993518588,0.0167832711268314,0.008017374412752694
1999,0.018161777967242953,0.021644455437364374,0.01493203617646778
2000,0.0015123763628253327,0.004684511352568641,8.267999702445986e-5
2001,0.0330734535461438,0.03609971824353088,0.029801991929350364
2002,0.008006484730186218,0.011373201772609302,0.004424107813433056
2003,0.007775307336188959,0.011220748416217003,0.004234846114211888
2004,0.019620946158931694,0.02288151348367623,0.01631950058176335
2005,0.006408070388637286,0.009627260310638134,0.0031513416176118343
2006,0.004711222260391977,0.007904974255272578,0.0014464008958283104
2007,0.005312611481925591,0.008600892835354293,0.0019663911405987714
2008,0.02549926442536305,0.028273288658415573,0.02275758065117163
2009,0.0010508967017638547,0.0035815419435115538,5.6641450081075927e-5
2010,0.0015787468201240995,0.004051310857146969,1.1481962658284061e-4
2011,0.00301700202230853,0.00597195821505606,3.4610509348816435e-4
2012,0.007739957308031078,0.011147764963623186,0.004037731880467056
2013,0.009466893098889305,0.01314136105847277,0.005905260289405005
2014,0.00722257068505198,0.010893143418273849,0.003432718442672148
2015,0.009726571509525937,0.012565780119671674,0.006742796384950081
2016,3.4438729656150694e-4,0.001591429260927358,1.3552993946130896e-5
2017,0.0024545756958266624,0.005355565947709782,2.409103458178695e-4
2018,0.02786289100249502,0.03330135267342348,0.022627338865064517
