lowerVal,val,upperVal,year,iFold
0.038903137756435245,0.039088557008505005,0.039486169275016754,1983,All
0.045527699774888755,0.04609528878197231,0.046628172743407616,1998,All
0.043330606402941396,0.04379729567970956,0.04422158241772256,1999,All
0.04113351303099403,0.04147658533570404,0.04182067140247321,2000,All
0.038936419659046664,0.03915587499169851,0.03941976038722385,2001,All
0.036736556070526644,0.036846245513983605,0.0370188493719745,2002,All
0.03439654891564464,0.03458010503136488,0.03470217235917821,2003,All
0.03202074090231914,0.032339935947228664,0.03240366361963788,2004,All
0.029636866039957684,0.030106218232554133,0.03015033292679128,2005,All
0.02725299117759623,0.027832519036507346,0.027950952799309828,2006,All
0.024869116315234772,0.025549672818324223,0.025753859427362465,2007,All
0.022485241452873315,0.0232668266001411,0.023556766055415096,2008,All
0.02010136659051186,0.020983980381957985,0.02135967268346773,2009,All
0.020881960592388504,0.0213679036824561,0.021533986883900385,2010,All
0.021650848071043224,0.021724939169303743,0.021773419265139243,2011,All
0.02188261528476569,0.02213575028345233,0.02258072199277272,2012,All
0.022056929485198346,0.022519673583950444,0.023402954247145932,2013,All
0.022231243685631,0.02290359688444856,0.024225186501519145,2014,All
0.022405557886063656,0.023287520184946675,0.025047418755892358,2015,All
0.022579872086496307,0.02367144348544479,0.02586965101026557,2016,All
0.022754186286928955,0.024055366785942903,0.026691883264638783,2017,All
0.022928500487361607,0.02443929008644102,0.027514115519012,2018,All
