Age,Kappa
0-5 yrs,"1.000 (1.000, 1.000)"
6-8 yrs,"1.189 (1.004, 1.388)"
9-11 yrs,"1.293 (1.127, 1.477)"
12-14 yrs,"1.099 (0.911, 1.318)"
15-17 yrs,"1.204 (1.000, 1.444)"
18-NA yrs,"1.000 (1.000, 1.000)"
