iTime,year,age,S,Val,lowerVal,upperVal
1,1995,0,0,1,1,1
1,1995,0,1,0,0,0
1,1995,0,2,0,0,0
1,1995,0,3,0,0,0
1,1995,0,4,0,0,0
1,1995,1,0,0.9624376777039152,0.871288538200761,0.9981041536558716
1,1995,1,1,0.03702476402171384,0.00189449742802662,0.12213945311954869
1,1995,1,2,5.341254258752538e-4,1.3484894495951942e-6,0.00642068306026493
1,1995,1,3,3.424614485507837e-6,4.2660171679894034e-10,1.5001130868045893e-4
1,1995,1,4,8.234010126094823e-9,5.0609595713464504e-14,1.314310744859838e-6
1,1995,2,0,0.9312857944978316,0.8443137608241592,0.9886456911007854
1,1995,2,1,0.06689084394810904,0.01130573358112643,0.14594977321412364
1,1995,2,2,0.00180169652203786,4.848284714493281e-5,0.00946094755023436
1,1995,2,3,2.1568209184937785e-5,9.240489925821397e-8,2.7257355283929e-4
1,1995,2,4,9.682283653408909e-8,6.604397119435792e-11,2.944858643420987e-6
1,1995,3,0,0.769390449216147,0.6880199798738084,0.875490084041886
1,1995,3,1,0.20845731119633276,0.11837179667998712,0.2696857225169048
1,1995,3,2,0.0211796481382976,0.00600173105868616,0.03964113988926814
1,1995,3,3,9.563961792339156e-4,1.3524534271120884e-4,0.00258971398475037
1,1995,3,4,1.619526998882549e-5,1.1428767294684017e-6,6.344373526819214e-5
1,1995,4,0,0.6932964226239413,0.6169936839608828,0.771505176743648
1,1995,4,1,0.2659438397904129,0.2067699790123211,0.3166747065245439
1,1995,4,2,0.03825535220594332,0.02078104587871112,0.06095050511125768
1,1995,4,3,0.00244574955269448,9.28249686260865e-4,0.00521385236331388
1,1995,4,4,5.8635827008010925e-5,1.5548679058939085e-5,1.672520400016013e-4
1,1995,5,0,0.6305959914573758,0.5553313143591619,0.7172773985967338
1,1995,5,1,0.3081827484825461,0.24852599432606493,0.3518781266736356
1,1995,5,2,0.0564802650407657,0.03229147176652474,0.08361104417100461
1,1995,5,3,0.00460047447953588,0.0018647534483495,0.00882983331615624
1,1995,5,4,1.4052053977657374e-4,4.038186232693339e-5,3.4968148004162284e-4
1,1995,6,0,0.571689128624574,0.4949087394065297,0.6509674017133068
1,1995,6,1,0.34308720856424657,0.29500494712029945,0.3805923647275159
1,1995,6,2,0.07721121508238515,0.05013380050081842,0.10975549877339262
1,1995,6,3,0.00772278118313903,0.00378660011493862,0.0140672752723756
1,1995,6,4,2.8966654565533136e-4,1.0725055063672332e-4,6.761218201861377e-4
1,1995,7,0,0.4231871212643649,0.35970195961370116,0.5037514078838485
1,1995,7,1,0.405994816050098,0.3767796701222916,0.4190697325212704
1,1995,7,2,0.14606286200179397,0.10567931943857166,0.18308850777718855
1,1995,7,3,0.0233548245979158,0.01317377147914017,0.03555112829571843
1,1995,7,4,0.00140037608582724,6.158310761478956e-4,0.00258867179212132
1,1995,8,0,0.3663971470064578,0.3036612527310198,0.4296934554708406
1,1995,8,1,0.418164831728012,0.4041237667742677,0.4218689880718636
1,1995,8,2,0.17896751009230918,0.1425283799768784,0.2195188092413644
1,1995,8,3,0.03404225885335592,0.02234116534539593,0.05079793212766771
1,1995,8,4,0.002428252319865,0.00131323243261737,0.0044081016066178
1,1995,9,0,0.2580063426424124,0.21606538891238347,0.31883483480959274
1,1995,9,1,0.4160220256994208,0.40338708081286934,0.4218452738845288
1,1995,9,2,0.25155534123879864,0.20932155771014563,0.2824164809860643
1,1995,9,3,0.06760335551443039,0.04616057283521489,0.08787707126070494
1,1995,9,4,0.00681293490493778,0.00381732996874134,0.01025397802797784
1,1995,10,0,0.23701884024966072,0.18905217851558712,0.29453275788891503
1,1995,10,1,0.4106983723793467,0.39061392004477863,0.4210962655850751
1,1995,10,2,0.2668666860193897,0.22576699135296113,0.3026530220515975
