year,val,upperVal,lowerVal
1984,0.0341649633254241,0.07915816248201292,0.006245567435056148
1988,0.05464432578541892,0.11674150198878328,0.012715855915674479
1989,0.056843908639651976,0.11508057143707055,0.011595737077162866
1990,0.06261549503275429,0.12102992524361175,0.015084821609418306
1991,0.044956404820549245,0.09635596343139058,0.01011221695184397
1992,0.044567540542963455,0.09039605652459448,0.010451088566964944
1993,0.04778432587155805,0.08558158005195805,0.013202300793952628
1994,0.020855595947921846,0.05251196397885217,0.004073674157960467
1995,0.022152300269060687,0.052560459586937315,0.0040058848304854976
1996,0.04034806158606136,0.0749203573811553,0.009318476802686364
1997,0.04135306956746573,0.07521891465954461,0.01204813564161477
1998,0.019615872965638707,0.04594474176277222,0.0041024503712738785
1999,0.02387702617435561,0.046929839021877466,0.005028725848131138
2000,0.01960973903141823,0.04204773764444773,0.004104564267542377
2001,0.024608800746483694,0.047902649068292225,0.00601735451058247
2002,0.021635493476806104,0.04627761864720582,0.00476103392983283
2003,0.01597406316540677,0.0353694439221318,0.0028797862892083266
2004,0.011857691459373085,0.030248623593022404,0.0018696513777653725
2005,0.011968003933418795,0.02828891648847723,0.002216985670763006
2006,0.00978092074373699,0.024243767547080918,0.0015777310920609246
2007,0.012509112779388213,0.028133162387287407,0.0023074640768856554
2008,0.022083199556820678,0.05343581825917687,0.003768374086947278
2009,0.023945454985800224,0.052933984457481806,0.004867909574819747
2010,0.043192047650334374,0.08891172530561837,0.009791519159527726
2011,0.023568915619961342,0.06870160338881501,0.00389794300000842
2012,0.027136344744322825,0.0718216439072418,0.004603375551758642
2013,0.026443229425437427,0.07057295902726105,0.004780410879996446
2014,0.02550142700600958,0.06668357878504433,0.004437604487563669
2015,0.018490205280789054,0.05266353192618257,0.002939183291162891
2016,0.01768805208359167,0.04910630222164379,0.0029640254642079315
2017,0.01954251095289485,0.052671510504336265,0.002955541163439875
2018,0.021879934161446315,0.0556722027474739,0.003380900975536307
2019,0.03226405412449848,0.1011559277214457,0.004675535026658449
