year,val,upperVal,lowerVal
1984,0.27802439399209,0.9053676808941733,0.009454113330341216
1988,0.29718490243237117,0.934445347614103,0.014671307375330477
1989,0.3294537713735079,0.9407762656186418,0.011026562327514021
1990,0.32895119912166454,0.9415015777684405,0.013425984970957682
1991,0.3540790088130785,0.9455541930780429,0.013216623438482423
1992,0.306605321778028,0.9113001393798077,0.010647302855951933
1993,0.226543989687514,0.9112946646484338,0.0077895927543093334
1994,0.22015963554319248,0.8697286216917351,0.0065780052310325104
1995,0.25711813877310374,0.9121860680758003,0.009471510477006704
1996,0.28013096697569817,0.9177166021699998,0.011700745534275678
1997,0.5238509587329051,0.9659248680290629,0.06414337124968367
1998,0.047475086092078414,0.06362593842748593,0.032544358652470184
1999,0.06607374197371745,0.08359400189974683,0.050926513938702914
2000,0.029295131266031414,0.04448233597178597,0.013386936200565533
2001,0.08103426458607821,0.09992157561727442,0.06258557763060572
2002,0.0596660024399189,0.0789458441313367,0.04134238766516738
2003,0.09311503277322442,0.45636660834280196,0.003753155848376884
2004,0.04567741038451269,0.06041212266738271,0.032296074101083865
2005,0.030628474730815335,0.04198992383993091,0.020522557920622832
2006,0.02284578435643022,0.03294822319034244,0.012498737471951078
2007,0.015998488698012014,0.026153596865064098,0.005550689051711194
2008,0.1959966229859003,0.8759936069238319,0.007369766840668666
2009,0.20526279432083455,0.8546276660716592,0.00953890305579666
2010,0.10077712954479373,0.6329339942957035,0.0032694535413442857
2011,0.040702990743151174,0.30754458515677,0.001468826752111447
2012,0.02507496263214369,0.17304351447640032,9.498220359841055e-4
2013,0.026790515503887793,0.17472297850312218,0.0011248498812233218
2014,0.042314418367469575,0.23558196875586193,0.002295414100794115
2015,0.030947024639343602,0.06373421461050367,0.005533893575766104
2016,0.004223127717907524,0.016852001674082705,1.2772623094110076e-4
2017,0.01994360335789195,0.045001198440682615,0.002632770146637724
2018,0.026015297099946804,0.05546638601322884,0.002483271255334098
2019,0.054580615871935446,0.13680253157314873,0.003770122760216736
