param,val,upperVal,lowerVal,n_eff,Rhat
lambda_cohort[75],0.013812054978999263,0.016292006468315676,0.011187919498644887,1862.1223704192798,0.9990501314151247
lambda_cohort[76],0.013812054978999263,0.016292006468315676,0.011187919498644887,1862.1223704192798,0.9990501314151247
lambda_cohort[77],0.013812054978999263,0.016292006468315676,0.011187919498644887,1862.1223704192798,0.9990501314151247
lambda_cohort[78],0.013812054978999263,0.016292006468315676,0.011187919498644887,1862.1223704192798,0.9990501314151247
lambda_cohort[79],0.013812054978999263,0.016292006468315676,0.011187919498644887,1862.1223704192798,0.9990501314151247
lambda_cohort[80],0.013812054978999263,0.016292006468315676,0.011187919498644887,1862.1223704192798,0.9990501314151247
lambda_cohort[81],0.013812054978999263,0.016292006468315676,0.011187919498644887,1862.1223704192798,0.9990501314151247
lambda_cohort[82],0.013812054978999263,0.016292006468315676,0.011187919498644887,1862.1223704192798,0.9990501314151247
lambda_cohort[83],0.013812054978999263,0.016292006468315676,0.011187919498644887,1862.1223704192798,0.9990501314151247
lambda_cohort[84],0.013812054978999263,0.016292006468315676,0.011187919498644887,1862.1223704192798,0.9990501314151247
lambda_cohort[85],0.2304971687318369,0.3055263126848196,0.15426105524001102,1738.7563113182264,1.0016199794335203
lambda_cohort[86],0.114776790897278,0.19541972360319873,0.03472248930061327,1796.1043691292468,0.9995503713122432
lambda_cohort[87],0.049342552438267656,0.11212311512178769,0.007972592551668486,1791.7077916850403,1.0019994729099857
lambda_cohort[88],0.026074244243574858,0.07176646067361785,0.00345935099245408,1741.4247487927698,0.9998154565238154
lambda_cohort[89],0.03447719153592689,0.08360261613687232,0.005519037426078937,1941.5432876566729,1.0001717293475
lambda_cohort[90],0.036120502510576746,0.09545343620619962,0.005801039078140649,1865.2730703787854,1.0005728284802629
lambda_cohort[91],0.03451025510787692,0.0920065052980935,0.0056026788873890935,1873.5526547095023,0.998604158907614
lambda_cohort[92],0.025342739107913,0.07857892512845664,0.0037573014928180323,1554.394388011644,1.0001798226306287
lambda_cohort[93],0.028732732992314367,0.09316094408920529,0.004633699956576796,1755.9337044860195,0.9986881321965602
lambda_cohort[94],0.059119687466855385,0.11607548536337937,0.015292468111026993,1731.7762618676163,0.99979759940896
lambda_cohort[95],0.03619097570173481,0.07476117261165684,0.009184796030390815,1747.1071459346736,0.9993410685483263
lambda_cohort[96],0.018146074304416865,0.04185317161293166,0.005887658845206852,1689.2123603433527,0.9991238530943205
lambda_cohort[97],0.054499742746554704,0.11944184941075209,0.017850304621135144,1758.7172774235105,0.9985558974941598
lambda_cohort[98],0.02189216158167448,0.04212755607273767,0.007852566817271747,1790.5276385968352,0.99912333910561
lambda_cohort[99],0.026829849611295333,0.05096163419095392,0.009543539819918515,1868.4285711911136,0.9985745296084602
lambda_cohort[100],0.006569765337734566,0.011530746064204924,0.0033056811699351293,1834.5322132355898,0.9991960283381962
lambda_cohort[101],0.042932143838831406,0.06895454684270802,0.022706103159215587,1873.7884044507573,0.9991630720566718
lambda_cohort[102],0.009506923978381567,0.022957442898384087,0.002589164720937521,1711.8936177385374,1.0022628628942645
lambda_cohort[103],0.0056172317867053245,0.013516899592914126,0.0014704635824199746,1706.0968823897842,1.0012122014709184
lambda_cohort[104],0.009344787598739348,0.020895025130625834,0.0022960391416544323,1747.047691233729,0.9991181148232805
lambda_cohort[105],0.006705651925726404,0.015013972915550945,0.0015683736821271727,1762.054135843699,0.9992254542717564
lambda_cohort[106],0.00933415768911828,0.019170322801895203,0.002702424515297894,1650.6609875492354,0.9988982885280138
lambda_cohort[107],0.011830019503380706,0.02370100249031727,0.0035694378991228994,1652.7820780823895,0.9992761572575145
lambda_cohort[108],0.021866382398438196,0.040552549139298094,0.00763596842670545,1556.7520599095442,1.0003408959805364
lambda_cohort[109],0.011457477235881808,0.021313097677652,0.004138983259687156,1826.3251467775947,1.0005150999325834
lambda_cohort[110],0.027806854803657858,0.03775410600716788,0.019081988373292603,1504.17732574681,0.9985806712620924
lambda_cohort[111],0.04658586328215336,0.062409909656004584,0.03252885731927171,1567.4851819733117,0.9984919811862951
