param,value
p_dhf[1],"0.036 (0.004, 0.078)"
p_dhf[2],"1.000 (1.000, 1.000)"
p_dhf[3],"0.008 (0.000, 0.042)"
p_dhf[4],"0.320 (0.252, 0.397)"
