Year,param,value
1994-1995,binned_phi_t[1],"0.016 (0.007, 0.309)"
1996-1997,binned_phi_t[2],"0.022 (0.009, 0.155)"
1998-1999,binned_phi_t[3],"0.037 (0.016, 0.264)"
2000-2001,binned_phi_t[4],"0.061 (0.036, 0.148)"
2002-2003,binned_phi_t[5],"0.145 (0.035, 0.653)"
2004-2005,binned_phi_t[6],"0.057 (0.020, 0.542)"
2006-2007,binned_phi_t[7],"0.051 (0.023, 0.362)"
2008-2009,binned_phi_t[8],"0.083 (0.032, 0.500)"
2010-2011,binned_phi_t[9],"0.026 (0.017, 0.041)"
2012-2013,binned_phi_t[10],"0.159 (0.080, 0.491)"
2014-2015,binned_phi_t[11],"0.104 (0.052, 0.410)"
2016-2017,binned_phi_t[12],"0.141 (0.051, 0.614)"
2018-Inf,binned_phi_t[13],"0.035 (0.019, 0.076)"
