lowerVal,val,upperVal,year
0.007922487623183198,0.0388381970389005,0.08901152487567454,1984
0.015235629937207427,0.06942193869729585,0.1410282209923059,1988
0.014518097375164582,0.06511353125427397,0.13680131522875488,1989
0.010136786516215406,0.055238626689310934,0.1190256294427804,1990
0.012626507827264554,0.05567313299189387,0.11277688218848299,1991
0.009622363481703934,0.044984238630786065,0.09485453579778444,1992
0.014276529830839291,0.05189606956009421,0.09393374745112947,1993
0.00350856182931497,0.021138595523642348,0.05354883341547582,1994
0.003944638806205531,0.02146424666224122,0.053681529058855385,1995
0.008737952768791307,0.03837026044942013,0.0784043050545735,1996
0.013701477400328765,0.046469830702073445,0.08362353025545807,1997
0.004379496633592583,0.022588296696586477,0.0511850508555527,1998
0.0047428006587708375,0.02304071389108474,0.0483631018149277,1999
0.004385940199992247,0.02270921206533074,0.04917288043891553,2000
0.006133416861901297,0.02457273917371176,0.049228396324816355,2001
0.003753977398477551,0.019770061080862725,0.04358761396120624,2002
0.0028208567548452827,0.015824598192266733,0.03772118353587443,2003
0.0022383390129627795,0.013247815478431998,0.033025703551652116,2004
0.0016309406450460374,0.010511758918805122,0.027564161302752917,2005
0.0025513304959298012,0.01581667816439441,0.036887468955140994,2006
0.0019289590147068614,0.011284705865954574,0.029684453440518694,2007
0.0043558112815149505,0.024241688194113657,0.05595054076737254,2008
0.004071602897850602,0.022986041219177064,0.05372117023684249,2009
0.008786957555451023,0.04253623904078062,0.09083859869169734,2010
0.004145720743907519,0.02649992160851125,0.07566373618418114,2011
0.003746232146807916,0.024376954901048888,0.07382659909872068,2012
0.00335439963970384,0.024093721110377643,0.07265264110939404,2013
0.0034268381582111076,0.022796169762939602,0.06595145177060462,2014
0.0030310846874302307,0.019357554148029588,0.05555445895147545,2015
0.0025139146174910226,0.016629502821621286,0.04726402575247436,2016
0.002836089138689311,0.017992687668962615,0.04847576060832602,2017
0.0034389540532868204,0.020923711907683107,0.05640129218323858,2018
0.005294681528995108,0.03535714290802866,0.10480033925663214,2019
