lowerVal,val,upperVal,year,iFold
0.015573695116425965,0.026951817393341678,0.05941579855244478,1984,All
0.057565927550495964,0.06859629613482672,0.07126314050164563,1988,All
0.054467429466876854,0.06393373820999966,0.06638677717158423,1989,All
0.051368931383257745,0.0592711802851726,0.061510413841522824,1990,All
0.048270433299638635,0.054449181814066966,0.05667391064803106,1991,All
0.04517193521601952,0.04961624359723732,0.0518401423909703,1992,All
0.04207343713240041,0.044783305380407666,0.04700637413390954,1993,All
0.03891408830948182,0.040193770120775935,0.04217260587684878,1994,All
0.03466949996964096,0.035807109515617636,0.037338837619788026,1995,All
0.029609034425369395,0.03129583273621022,0.03297627045094454,1996,All
0.02454856888109784,0.02663327481138316,0.029840515396914173,1997,All
0.01946867757370835,0.022048419939027834,0.02670476034288381,1998,All
0.02031553664306479,0.022262099090841155,0.026143677875449,1999,All
0.021120232594576602,0.022149176199717183,0.025706409036593148,2000,All
0.021188100854650928,0.022401081661043248,0.025269140197737287,2001,All
0.020626968541680273,0.023040524042580706,0.024831871358881437,2002,All
0.02006583622870962,0.023679966424118168,0.02446719875948312,2003,All
0.019504703915738966,0.023808566949417277,0.024959133947315585,2004,All
0.01894357160276831,0.02368736012848848,0.025745174195046933,2005,All
0.01838243928979766,0.023566153307559685,0.026639041460507027,2006,All
0.017821306976827,0.02344494648663089,0.02753290872596712,2007,All
0.017260174663856348,0.023323739665702094,0.028426775991427213,2008,All
0.016699042350885693,0.023202532844773298,0.029320643256887307,2009,All
0.020029400401311633,0.023834437288045858,0.0297640135538729,2010,All
0.02187027091584708,0.024930633654036242,0.030246300135797186,2011,All
0.02235799431524012,0.026488861124137446,0.03083528300646864,2012,All
0.022845717714633167,0.026537755515077567,0.03180159914693037,2013,All
0.02313212967460644,0.027363214004461057,0.03430130930535683,2014,All
0.02340435771214964,0.028245408183564857,0.037593543816031014,2015,All
0.02355134976142942,0.029127602362668654,0.0408857783267052,2016,All
0.023108321569902137,0.03000979654177246,0.044178012837379384,2017,All
0.022665293378374855,0.030891990720876256,0.04747024734805357,2018,All
0.022222265186847567,0.03177418489998006,0.05076248185872776,2019,All
