param,value
p_dhf[1],"0.066 (0.030, 0.104)"
p_dhf[2],"1.000 (1.000, 1.000)"
p_dhf[3],"0.010 (0.000, 0.053)"
p_dhf[4],"0.331 (0.248, 0.426)"
