Age,Kappa
0,1
1,1
2,1
3,1.0930177454610808
4,1.0930177454610808
5,1.0930177454610808
6,1.2869375236257534
7,1.2869375236257534
8,1.2869375236257534
9,1.2954344512589082
10,1.2954344512589082
11,1.2954344512589082
12,1.3979627318723655
13,1.3979627318723655
14,1.3979627318723655
15,1.2089073221731834
16,1.2089073221731834
17,1.2089073221731834
18,1.0156989142460504
19,1.0156989142460504
20,1.0156989142460504
21,0.9229125584363792
22,0.9229125584363792
23,0.9229125584363792
24,0.8551447609824827
25,0.8551447609824827
26,0.8551447609824827
27,0.8633654713831219
28,0.8633654713831219
29,0.8633654713831219
30,0.9129165377186288
31,0.9129165377186288
32,0.9129165377186288
33,0.9129165377186288
34,0.9129165377186288
35,0.9129165377186288
36,0.9129165377186288
37,0.9129165377186288
38,0.9129165377186288
39,0.9129165377186288
40,0.7441444722835757
41,0.7441444722835757
42,0.7441444722835757
43,0.7441444722835757
44,0.7441444722835757
45,0.7441444722835757
46,0.7441444722835757
47,0.7441444722835757
48,0.7441444722835757
49,0.7441444722835757
50,0.7437206566258916
51,0.7437206566258916
52,0.7437206566258916
53,0.7437206566258916
54,0.7437206566258916
55,0.7437206566258916
56,0.7437206566258916
57,0.7437206566258916
58,0.7437206566258916
59,0.7437206566258916
60,0.9281885647119394
61,0.9281885647119394
62,0.9281885647119394
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
