Age,Kappa
0-2 yrs,"1.000 (1.000, 1.000)"
3-5 yrs,"1.070 (0.934, 1.220)"
6-8 yrs,"1.248 (1.091, 1.424)"
9-11 yrs,"1.276 (1.112, 1.451)"
12-14 yrs,"1.387 (1.215, 1.586)"
15-17 yrs,"1.214 (1.056, 1.389)"
18-20 yrs,"1.020 (0.888, 1.182)"
21-23 yrs,"0.910 (0.781, 1.062)"
24-26 yrs,"0.851 (0.727, 0.998)"
27-29 yrs,"0.865 (0.744, 1.015)"
30-39 yrs,"0.907 (0.769, 1.052)"
40-49 yrs,"0.741 (0.638, 0.857)"
50-59 yrs,"0.742 (0.644, 0.862)"
60-62 yrs,"0.919 (0.784, 1.068)"
63-NA yrs,"1.000 (1.000, 1.000)"
