year,val,upperVal,lowerVal
1983,0.27650889193700445,0.9299500653117976,0.01137654360361991
1988,0.27543072675094393,0.9128756895218817,0.011217800466116994
1989,0.2851118854980136,0.9142881307680313,0.013018061124416032
1990,0.3018649581470844,0.9309774438689916,0.013613737362566426
1991,0.28537788805360553,0.9218859577287496,0.012589161401630588
1992,0.2739645616776901,0.9101350695989662,0.010054562687726443
1993,0.2657468196974426,0.9233958673808088,0.009182445796659876
1994,0.27136616620890497,0.9215997592891885,0.010956225863890178
1995,0.2837889255174936,0.9258375817721346,0.010408235363445721
1996,0.2808498790670836,0.9198788759180286,0.011670333019601459
1997,0.2817819011935617,0.9205268397646326,0.010432742716438377
1998,0.037340815697154,0.043559071674148825,0.03194442327536323
1999,0.03768673873576204,0.0431353909944767,0.03235834950876346
2000,0.009879909793752927,0.01310439194436595,0.00714353061998655
2001,0.07077082755675912,0.0786104600554012,0.0635690207807418
2002,0.033599657705263034,0.038934362101677875,0.028721355176973717
2003,0.024646677254275464,0.029272043066386092,0.020291436073767783
2004,0.0491900187963247,0.0555508124767386,0.04357545970976046
2005,0.033169294337931025,0.03844788068656239,0.02831578207723446
2006,0.012355042017008046,0.01547177342868777,0.00953724923437
2007,0.019601847354675447,0.023492634638559752,0.01639223940452244
2008,0.0528575746964164,0.05824362254391609,0.04772140807474498
2009,0.026351234230513398,0.03033095295757007,0.02277611055158245
2010,0.011652009811551949,0.014470117931424989,0.009271150636009109
2011,0.020793372655887987,0.024181454942643843,0.017881556616804226
2012,0.018164496237003308,0.021375867282325905,0.015371097043276324
2013,0.027043990859424404,0.030655179657875235,0.02367619122876237
2014,0.017318861856818867,0.020318191194443565,0.01449239029023042
2015,0.03107774066668851,0.03476785145205204,0.027761762467342122
2016,0.008176072604380583,0.01018735628681145,0.0065044781801400185
2017,0.015975207147533158,0.01875123199594564,0.013468179585279624
2018,0.04135003317798702,0.04574287627756051,0.0368413785169953
