lowerVal,val,upperVal,year,iFold
0.031218482474426067,0.0327038806193014,0.0364693225113292,1983,All
0.027109470751403433,0.028292601997092937,0.028924086399615308,1988,All
0.02775436545433438,0.028796104076704524,0.02932401867003025,1989,All
0.028399260157265318,0.029299606156316108,0.0297239509404452,1990,All
0.029044154860196264,0.029803108235927696,0.030123883210860146,1991,All
0.02968904956312721,0.03030661031553928,0.030523815481275092,1992,All
0.03033394426605815,0.030810112395150864,0.030923747751690038,1993,All
0.030978838968989095,0.03128056476554403,0.031381517013237235,1994,All
0.031623733671920035,0.03170646637404752,0.03191725010809134,1995,All
0.032105012712568555,0.032288235717925474,0.032455021430520536,1996,All
0.03250383419226088,0.0328457377320473,0.03301319178311686,1997,All
0.03290265567195322,0.03340323974616912,0.033625212849672924,1998,All
0.03145369270896202,0.03186590359819408,0.032093432473307267,1999,All
0.03000472974597082,0.030321170675933144,0.03056350129051309,2000,All
0.02855576678297962,0.02877643775367221,0.029033570107718905,2001,All
0.027106803819988423,0.02723170483141127,0.027503638924924727,2002,All
0.025611738845394295,0.025713315915780577,0.02597370774213055,2003,All
0.024033347422304733,0.02424254211357585,0.024443776559336366,2004,All
0.022454955999215168,0.02277176831137112,0.022913845376542185,2005,All
0.02087656457612561,0.021300994509166393,0.021383914193748008,2006,All
0.01929817315303604,0.01979297002322873,0.01988241861275675,2007,All
0.01771978172994648,0.01828071783179091,0.018428207142304805,2008,All
0.016141390306856917,0.016768465640353086,0.016973995671852853,2009,All
0.016756506211971958,0.017140479982458018,0.01731502482496125,2010,All
0.017366770863011007,0.01753014579191064,0.01765649236530871,2011,All
0.017753829947474816,0.017945808978464373,0.01801098274460807,2012,All
0.01808476330803428,0.018320928718678665,0.018627627362728244,2013,All
0.01841569666859374,0.018676389875502318,0.019249186626696075,2014,All
0.018746630029153204,0.01903185103232597,0.019870745890663906,2015,All
0.019077563389712664,0.019387312189149627,0.02049230515463174,2016,All
0.01940563754130016,0.01975421018186114,0.02111386441859957,2017,All
0.019732766841484266,0.020124887580186223,0.0217354236825674,2018,All
