param,val,upperVal,lowerVal,n_eff,Rhat
binned_kappa_rel[1],1.0020930738245066,1.1504977957348772,0.8746430671749356,1809.1774082586967,0.9986251336531842
binned_kappa_rel[2],1.2151842017615233,1.407191360042305,1.0528150359392885,1804.3193686007173,0.999592479042142
binned_kappa_rel[3],1.2377381655180437,1.4163734658750091,1.0795408968613092,1887.738243177829,1.0003497154884358
binned_kappa_rel[4],1.3827585126745485,1.581418485547735,1.2031127507780275,1630.0586631150184,0.9991930103493827
binned_kappa_rel[5],1.1913100833699173,1.3780865322096314,1.033276460959475,1664.903866315693,1.0047232221897657
binned_kappa_rel[6],0.9879601309000745,1.1374045531771129,0.8493544440572127,1709.172158429341,1.002953624754638
binned_kappa_rel[7],0.8683407166190457,1.028522555195619,0.7450804182828572,1807.1825735235948,0.9990111386903079
binned_kappa_rel[8],0.8276419633836967,0.9636205423986889,0.7012862185412094,1783.5749838177967,0.9996062630888518
binned_kappa_rel[9],0.8531869406312438,0.9981083335647117,0.7309939072862501,1759.3070750499187,0.9982925020622765
binned_kappa_rel[10],0.8044021689443703,0.9300760724394925,0.6946220099756687,1878.6799506869445,0.999415265860159
binned_kappa_rel[11],0.8023356669479156,0.9246037248809864,0.6888976610730763,1787.9899293812002,0.9987458940134816
binned_kappa_rel[12],0.940807890405541,1.1128416344950314,0.7954278871074817,1665.3056980850408,0.9985002145568646
binned_kappa_rel[13],1.107387819719039,1.340808934873038,0.9213745504455979,1851.5958946542705,1.000073390702044
binned_phi_a_rel[1],1.0098553803373018,1.1688813173182584,0.8573102385556003,1867.6566223795196,0.9993885345431678
binned_phi_a_rel[2],1.1072383704900002,1.279516997803923,0.9491485033882557,1818.0637891545123,0.999281542781998
binned_phi_a_rel[3],1.2422746566555287,1.4361058853882684,1.0859919353220124,1870.3970059954545,0.998848825740604
binned_phi_a_rel[4],1.1261561279815249,1.3010576950328623,0.9713635847273153,1721.0500887311578,1.0004358296649543
binned_phi_a_rel[5],1.0248409806222172,1.1871839920490606,0.8846521080822676,1872.892250760215,1.0023145478925524
binned_phi_a_rel[6],0.907309559806497,1.0582474159115207,0.7905828013546653,1799.4353009349845,1.0008194985882897
binned_phi_a_rel[7],0.7684084207113305,0.8916768730194105,0.6514271280524131,1740.539573316449,0.9989908321377722
binned_phi_a_rel[8],0.7846795080003108,0.9162533863987368,0.6710004895431939,1766.4268053921373,0.9987035777874159
binned_phi_a_rel[9],0.838951492114804,0.9731017595921412,0.714494197864279,1903.6253951952592,1.0001736217727788
binned_phi_a_rel[10],0.9269736557301367,1.0806886242087634,0.789932184378559,1803.0718274821356,1.0006595966945373
binned_phi_a_rel[11],0.9776588322978972,1.15948531820539,0.8273458110235313,1700.8490234477879,0.9994445882906995
binned_phi_a_rel[12],1.0794510568044187,1.2917237156274421,0.9132368583625466,1890.5890934157019,0.9990639248685781
binned_phi_a_rel[13],1.211784478580833,1.4700142783227879,1.003668617078413,1719.980990386159,0.9981140181785187
binned_phi_t[1],0.019211776989262384,0.05485494301576089,0.010246469364581002,1475.2420611843552,1.0012602979215377
binned_phi_t[2],0.028963383734854558,0.058309628632798684,0.0174500718062446,1681.2334995775627,1.0005811836748693
binned_phi_t[3],0.04377679818683139,0.09508218410494358,0.025234484328805137,1613.5849610155499,0.9986550657216711
binned_phi_t[4],0.07423391903897875,0.11594311957275263,0.05043901425882188,1793.9828766280666,0.9988098233925554
binned_phi_t[5],0.12441637665588258,0.3955448742680818,0.05634245745404569,1693.8204203294135,0.9990113984607162
binned_phi_t[6],0.039811831712000645,0.09139334619664412,0.023339493920985104,1617.2675022266044,1.0004974752782658
binned_phi_t[7],0.11459059728148986,0.3465582308793875,0.05489796802938332,1581.6800423725556,1.001679767566535
binned_phi_t[8],0.10742218151504444,0.2694843274719773,0.06282210651079172,1705.289883299268,0.9986932621764844
binned_phi_t[9],0.0918901283068802,0.16692723623354866,0.060323447593557004,1669.9111140438472,1.0002223771207999
binned_phi_t[10],0.18242606694113664,0.4526818321086092,0.0965228725198113,1567.361812143284,1.002288010172899
binned_phi_t[11],0.1597319585363909,0.45572766866669423,0.0746403448401705,1774.0510654199625,1.0023321681576647
binned_phi_t[12],0.10677402238956782,0.38005835769219565,0.044982502738637097,1719.5857892911797,1.0006666429739977
binned_phi_t[13],0.03538467413079273,0.07164763673425616,0.020571550463385036,1573.4083737157403,1.0009799995840767
p_dhf_rel[1],0.005287513285205922,0.02093917249513835,2.185855765267986e-4,1914.91752873777,0.9983588663818477
p_dhf_rel[2],7.339998436167751e-4,0.0038852187685375576,3.348566572813499e-5,1738.3301641363962,1.0001845904381899
p_dhf_rel[3],8.424929077722245e-4,0.004539506232549255,2.645155813250017e-5,1815.2585569469654,1.0018200981188001
psi,38.18021446668517,72.81389220252481,23.532299933758523,1713.2708471650626,0.9998380072745514
p_dhf[1],0.005287513285205922,0.02093917249513835,2.185855765267986e-4,1914.91752873777,0.9983588663818477
p_dhf[2],1,1,1,NA,NA
p_dhf[3],7.339998436167751e-4,0.0038852187685375576,3.348566572813499e-5,1738.3301641363962,1.0001845904381899
p_dhf[4],8.424929077722245e-4,0.004539506232549255,2.645155813250017e-5,1815.2585569469654,1.0018200981188001
lambda_cohort[1],0.027962337917177504,0.03223488206243783,0.02383181352098513,1757.5740640605939,0.9982007742065893
lambda_cohort[2],0.027962337917177504,0.03223488206243783,0.02383181352098513,1757.5740640605939,0.9982007742065893
lambda_cohort[3],0.027962337917177504,0.03223488206243783,0.02383181352098513,1757.5740640605939,0.9982007742065893
