Age,Kappa
0-2 yrs,"1.000 (1.000, 1.000)"
3-5 yrs,"1.002 (0.875, 1.150)"
6-8 yrs,"1.215 (1.053, 1.407)"
9-11 yrs,"1.238 (1.080, 1.416)"
12-14 yrs,"1.383 (1.203, 1.581)"
15-17 yrs,"1.191 (1.033, 1.378)"
18-20 yrs,"0.988 (0.849, 1.137)"
21-23 yrs,"0.868 (0.745, 1.029)"
24-26 yrs,"0.828 (0.701, 0.964)"
27-29 yrs,"0.853 (0.731, 0.998)"
30-39 yrs,"0.804 (0.695, 0.930)"
40-49 yrs,"0.802 (0.689, 0.925)"
50-59 yrs,"0.941 (0.795, 1.113)"
60-62 yrs,"1.107 (0.921, 1.341)"
63-NA yrs,"1.000 (1.000, 1.000)"
