Age,param,value
3-5,binned_phi_a_rel[1],"1.010 (0.857, 1.169)"
6-8,binned_phi_a_rel[2],"1.107 (0.949, 1.280)"
9-11,binned_phi_a_rel[3],"1.242 (1.086, 1.436)"
12-14,binned_phi_a_rel[4],"1.126 (0.971, 1.301)"
15-17,binned_phi_a_rel[5],"1.025 (0.885, 1.187)"
18-20,binned_phi_a_rel[6],"0.907 (0.791, 1.058)"
21-23,binned_phi_a_rel[7],"0.768 (0.651, 0.892)"
24-26,binned_phi_a_rel[8],"0.785 (0.671, 0.916)"
27-29,binned_phi_a_rel[9],"0.839 (0.714, 0.973)"
30-39,binned_phi_a_rel[10],"0.927 (0.790, 1.081)"
40-49,binned_phi_a_rel[11],"0.978 (0.827, 1.159)"
50-59,binned_phi_a_rel[12],"1.079 (0.913, 1.292)"
60-Inf,binned_phi_a_rel[13],"1.212 (1.004, 1.470)"
