year,val,upperVal,lowerVal
1984,0.02328365317400092,0.04923137611070391,0.0050953636643704435
1988,0.03587611428696506,0.07720158119126899,0.008316431496754442
1989,0.05015020184305381,0.08740306451037629,0.01509244415451451
1990,0.024196103799591355,0.05606552667046138,0.004377359671645852
1991,0.023655334970744082,0.0516332682104127,0.004865419861448816
1992,0.025972506922032297,0.052984624645655766,0.005966414275884226
1993,0.022447355672025188,0.04670895868772018,0.005415887287873857
1994,0.011388094680868915,0.0294007007567577,0.0016559296120088633
1995,0.014128264344818911,0.034082734358260564,0.0022514423057462627
1996,0.02011323693550146,0.04283635838971957,0.004270617233408942
1997,0.023743966378811737,0.043186995476118865,0.005715364693549449
1998,0.008736993798272816,0.021946398232899487,0.001337875747294653
1999,0.00926032572757306,0.0218648447385929,0.0017993233836440634
2000,0.0073660315913341295,0.019453284814409135,0.0012509949941259674
2001,0.01999489322010784,0.03449723617287165,0.006461116815906818
2002,0.014977779072098798,0.03316309068962698,0.0031586765169113904
2003,0.018891652200345756,0.0345150680085268,0.004614761391672113
2004,0.009185946725983255,0.0235757100233592,0.0013596735690453398
2005,0.007240704985170745,0.01775302820756716,0.0012633522350178033
2006,0.005330385085399989,0.014376449821162757,8.498070885053223e-4
2007,0.0072125055746991955,0.019153142478228833,0.001091655705409434
2008,0.012114685343301321,0.02892470334495934,0.00213859913081513
2009,0.011580873176571043,0.027306145695348234,0.0019147585878539603
2010,0.018404474895638012,0.04413727776734049,0.0030900309069615242
2011,0.015529332430310162,0.045530734745309144,0.002561446838167678
2012,0.019209510635497584,0.05358032755760744,0.003378959228045238
2013,0.01930077391850456,0.048830232268407096,0.002782188351546101
2014,0.015196228720500221,0.04287129836565084,0.0022978719577091407
2015,0.010209131734361984,0.029717502745912616,0.0015422838701963633
2016,0.008926161910463063,0.02777527828449559,0.0012048059227086454
2017,0.009722756241664904,0.029141152265554797,0.0015659032327459915
2018,0.012674507130620322,0.03475555786987996,0.002171395370503442
2019,0.0362170472244719,0.09806254003733667,0.005332028061418268
