lowerVal,val,upperVal,year,iFold
0.038082657381736613,0.039619122034365684,0.042357187131479526,1983,All
0.03392831270553802,0.03520865511148541,0.036702007700420904,1988,All
0.034790710255831185,0.035912858203402995,0.03719074816253281,1989,All
0.03565310780612436,0.03661706129532058,0.03767948862464472,1990,All
0.036515505356417524,0.037321264387238165,0.03816822908675663,1991,All
0.037377902906710704,0.03802546747915575,0.03865696954886854,1992,All
0.038235099890782547,0.0387409702032643,0.03914808566915403,1993,All
0.03908501239104574,0.03947801815553115,0.03965010673172489,1994,All
0.039934924891308926,0.0401525037363981,0.040309138381566405,1995,All
0.040590569632039344,0.04083223019931104,0.04103119307616969,1996,All
0.04109252123949472,0.04157908541847712,0.04185037517799368,1997,All
0.041589412321539995,0.04225068603066124,0.042693431456973255,1998,All
0.03973430522980975,0.040226391913813636,0.040570671701166565,1999,All
0.037879198138079495,0.03820209779696603,0.03844791194535987,2000,All
0.03601568310275344,0.03617780368011843,0.036364337296873155,2001,All
0.033994462224364835,0.034177188606857895,0.03430306343492301,2002,All
0.03194843974676336,0.03212921544642322,0.032355390711799985,2003,All
0.02989649750826511,0.03010492132957562,0.030498753896445834,2004,All
0.027795658764662928,0.02808062721272802,0.028642117081091684,2005,All
0.02567442873248013,0.026056333095880412,0.026785480265737537,2006,All
0.023553198700297328,0.02401374895789228,0.02493341595566852,2007,All
0.02143196866811453,0.021967821753531003,0.023082187412192787,2008,All
0.01931073863593173,0.019921894549169726,0.021230958868717058,2009,All
0.020883895179090804,0.02112911287399081,0.02183809399729674,2010,All
0.02229462424172203,0.022420712752618817,0.022461939997367706,2011,All
0.023049438168318347,0.023555253868183988,0.024030208265408953,2012,All
0.023659499383035784,0.024750767848454057,0.025603364808568025,2013,All
0.024266634511615467,0.02595798617327514,0.0271765213517271,2014,All
0.02487376964019515,0.027165204498096222,0.028749677894886177,2015,All
0.025480904768774834,0.028372422822917305,0.03032283443804525,2016,All
0.026088039897354514,0.029579641147738388,0.031895990981204325,2017,All
0.026695175025934194,0.03078685947255947,0.033469147524363405,2018,All
