year,val,upperVal,lowerVal
1984,0.035418258137634405,0.07905833509287777,0.0067559681222024
1988,0.058005969971766685,0.11906773536695733,0.012731447778898976
1989,0.057561585032558246,0.12233882017853855,0.01264800596940529
1990,0.0591695780340116,0.1162777992632708,0.013896282333188
1991,0.0438377303970923,0.09078439111374685,0.009615825514715905
1992,0.04117026912063439,0.08247776126688157,0.009805424719291377
1993,0.045494268739082605,0.08255964765515823,0.013467756953840643
1994,0.019924310468440825,0.04950769052072147,0.0031632099150197246
1995,0.020084890851702692,0.04990314803643497,0.0032663042101200523
1996,0.03990679473260986,0.07575421691921146,0.010684751874815789
1997,0.037741015375542204,0.07182594235239484,0.009948799980423693
1998,0.018190088464874184,0.042686537774115255,0.0033275198709583932
1999,0.023582975130086947,0.0456344784467214,0.005000215834058914
2000,0.01820568819120251,0.04072742051952953,0.003943955543842717
2001,0.02297423725405475,0.04566556371711703,0.005521056203393125
2002,0.019185149314053677,0.04051103645207363,0.003930654377082615
2003,0.014248770988441652,0.03302754080147701,0.002694676552824815
2004,0.010698012887048717,0.027219800091179986,0.0016034162599249803
2005,0.009977361109180561,0.02379301802427534,0.0018319133866771015
2006,0.008193078399828056,0.020753223878527783,0.0012524485761540366
2007,0.010915994215281662,0.027987432681427414,0.0018851932853660408
2008,0.020530747779939025,0.05103945023574318,0.004128369238341205
2009,0.02016468466144406,0.0478450008762936,0.0037620166391616806
2010,0.04154269811329983,0.08699804311224889,0.008807086802722805
2011,0.024476571924809724,0.07166254177540732,0.003802875360065987
2012,0.0258379040604463,0.07472307748595687,0.004490431082522439
2013,0.02551297726441396,0.06781236523055204,0.0037612235503355473
2014,0.02403083805095729,0.0648758223631174,0.0037167517385463277
2015,0.01688472876315632,0.04893443134177449,0.0026743669788846357
2016,0.014630478018375671,0.042063972794972974,0.002595722606245476
2017,0.017775155619723534,0.04636909375541727,0.0033681474864531522
2018,0.01837659734553157,0.049986161765188,0.003043378675269255
2019,0.031218162643100844,0.09447441637810426,0.0043905420595769734
