iTime,year,age,S,lowerVal,Val,upperVal
1,1998,3,0,0.13257403523055533,0.21384964638129494,0.2789467989581904
1,1998,4,0,0.10039488974172382,0.17587782229917948,0.2472993415989346
1,1998,5,0,0.07734132524746179,0.14396060426580132,0.2210791705599502
1,1998,6,0,0.05941337778474183,0.11732901384574415,0.1898544845474276
1,1998,7,0,0.04729162512148635,0.09704763220148883,0.16538240388368153
1,1998,8,0,0.035706534011479246,0.07955581508555129,0.1425654472409465
1,1998,9,0,0.02810664006783403,0.06447642984358015,0.12138870491897592
1,1998,10,0,0.02212284668646242,0.05311642220396401,0.10371252309135708
1,1998,11,0,0.017974037566677283,0.04390061007304097,0.08837180050706958
1,1998,12,0,0.01412391417694666,0.03603650576402178,0.07443474712192684
1,1998,13,0,0.010432422548882398,0.029562531009127882,0.06712704085337384
1,1998,14,0,0.006844579362757556,0.024678206931916746,0.06147973204940401
1,1998,15,0,0.004329040214316799,0.020611872236108726,0.056922528119947316
1,1998,16,0,0.0026989431486445117,0.017546502946844462,0.05357366993287678
1,1998,17,0,0.0015910247213767788,0.014748195862034689,0.05133399279286575
1,1998,18,0,9.61774886742287e-4,0.012483776231035356,0.04972705042765984
1,1998,19,0,5.745612560306329e-4,0.010452967038605506,0.04668984986604938
1,1998,20,0,3.464424276926717e-4,0.00876524770686491,0.045431288738422726
1,1998,21,0,2.0187969899658205e-4,0.007353057885125693,0.043753684284931205
1,1998,22,0,1.2061311537580904e-4,0.006174543619928657,0.04198541024526498
1,1998,23,0,7.199718531419224e-5,0.00524668493195328,0.04064278493289882
1,1998,24,0,4.303552812824288e-5,0.004415895848504002,0.03934061302231316
1,1998,25,0,2.572136907108384e-5,0.00370846998985007,0.03801817075757956
1,1998,26,0,1.535733083921865e-5,0.003096889148860569,0.03597345999080178
1,1998,27,0,9.1719805363639e-6,0.0026222634595916374,0.03449852010677995
1,1998,28,0,5.479012209516662e-6,0.002196231837595674,0.03389397523717711
1,1998,29,0,3.3767083518223382e-6,0.0018358151390749178,0.03330020999834768
1,1998,30,0,1.9912873733694975e-6,0.0015396288409336115,0.03272573952276864
2,1999,3,0,0.0518923673734168,0.07495511560883139,0.08852446075758542
2,1999,4,0,0.03807420874170771,0.06133046609000889,0.08054207735223401
2,1999,5,0,0.02882371635648086,0.05055650260136654,0.07134272787486848
2,1999,6,0,0.02196443978483025,0.041365432209914184,0.06315875665800408
2,1999,7,0,0.016958927242263992,0.033729910012683405,0.05471421577085986
2,1999,8,0,0.013641751423122616,0.027809191487978363,0.047397550959867286
2,1999,9,0,0.010210416248837634,0.022789211286947247,0.040684575581471545
