year,val,upperVal,lowerVal
1984,0.040678036316980665,0.13436921382341677,0.006187547882635541
1988,0.04250750610474377,0.13706573895256044,0.006546715342135558
1989,0.043206870168423256,0.1321645689491129,0.0065299342469766425
1990,0.04384404155257652,0.14116126843215332,0.005931787982575982
1991,0.0435928467928386,0.13276284823206586,0.005604900140614436
1992,0.04403741128252979,0.13872363548443625,0.00633351014187857
1993,0.0427697992134541,0.1356068042138284,0.006829669506982684
1994,0.042773503742547805,0.14318458353955466,0.006343886191010782
1995,0.04259559460838762,0.13507244411388034,0.005564894528147855
1996,0.041565551234693625,0.13451975044633088,0.005995811340004561
1997,0.04158674867321896,0.13776715851715146,0.006100381305955192
1998,0.10095199105204597,0.11342273386807342,0.09033134287018223
1999,0.09710011850227615,0.10867033910279036,0.08711454208645561
2000,0.05494892025917299,0.0631697574626337,0.047128483807745716
2001,0.10263788259687719,0.11359324051341742,0.09205420449377291
2002,0.04744027494911439,0.056117895106627236,0.039620155350718896
2003,0.04405891353063952,0.13533701765190165,0.0065728564944677196
2004,0.01706760776114297,0.023094857367742926,0.011869400757577761
2005,0.035657213252795514,0.04142043660131036,0.030168141661435322
2006,0.03600943919392059,0.041341320086166124,0.030622285405508667
2007,0.03460850166704747,0.0403614439799442,0.029662589326946875
2008,0.04294359289301462,0.13049839670246105,0.006102242160533998
2009,0.04343720334905138,0.13600238380916232,0.006461761540300385
2010,0.04225135514486886,0.13916845456330856,0.0054316776141052105
2011,0.04258260712293729,0.1286514657158613,0.006759341064647853
2012,0.04465043659759712,0.1346028941283975,0.006127277692113415
2013,0.04381077068004821,0.13937169691511198,0.007339083706566049
2014,0.04058206616523366,0.1392232567959363,0.006335076220153271
2015,0.016897387708093733,0.03464189499309711,0.005548622592475806
2016,0.017257419036051356,0.027167754436501393,0.008744013112264092
2017,0.006292036927160771,0.017138905037217305,9.968911256881252e-4
2018,0.054039285272724585,0.06836933073076953,0.04108240937525574
2019,0.0236179222018228,0.06228066467007903,0.004003777026321518
