lowerVal,val,upperVal,year,iFold
0.04908595290128563,0.04972264371637261,0.05431601111860843,1983,All
0.04601791641471388,0.04637160276793943,0.049186964601980264,1988,All
0.04597299956993094,0.04626143886664932,0.048720511025869113,1989,All
0.04592808272514801,0.04615127496535919,0.048254057449757956,1990,All
0.045883165880365076,0.04604111106406907,0.0477876038736468,1991,All
0.04582138473227489,0.04593235138615896,0.04732115029753565,1992,All
0.045728692820215626,0.04585772004467946,0.0468546967214245,1993,All
0.04562159399576411,0.04574519837157967,0.046397715728218415,1994,All
0.04547713635127189,0.04565448144390748,0.04595219751973244,1995,All
0.045237039439246104,0.04551433684762765,0.045665198674873696,1996,All
0.04496159801350481,0.04537263230778896,0.04561553864880234,1997,All
0.044522428840868725,0.04526996375503822,0.04556874796688455,1998,All
0.04259169964983056,0.04331722286354649,0.043556952844244226,1999,All
0.04066097045879239,0.041356964537815157,0.0415470370801638,2000,All
0.03873024126775422,0.039394726240896474,0.03953761630888021,2001,All
0.03679951207671605,0.03743248794397777,0.03752819553759662,2002,All
0.034868782885677886,0.03546702101500432,0.03551958192432673,2003,All
0.03293805369463971,0.03347201303005217,0.03357235105518383,2004,All
0.030993258913776224,0.031523012877452516,0.031636335813228784,2005,All
0.02904801345582112,0.029528505668905455,0.029712148012352193,2006,All
0.027102767997866022,0.0275339984603584,0.027799417696566516,2007,All
0.02515578992868597,0.025546421696711147,0.02591525903894118,2008,All
0.023207947634508758,0.02356230183305251,0.024031100381315847,2009,All
0.023738706633364484,0.023850947775084588,0.02410821825094839,2010,All
0.02403840155403068,0.024158980791288254,0.024370828755704576,2011,All
0.024183177343651566,0.024407594441467145,0.024930127383875185,2012,All
0.024245079500471337,0.02465029189670329,0.025502744151181644,2013,All
0.024306981657291116,0.024892989351939433,0.026075360918488104,2014,All
0.024368883814110887,0.02513568680717558,0.026647977685794556,2015,All
0.024430785970930662,0.025378384262411728,0.027220594453101016,2016,All
0.024492688127750434,0.025621081717647872,0.02779321122040747,2017,All
0.024554590284570212,0.025863779172884016,0.028365827987713928,2018,All
