year,val,upperVal,lowerVal
1983,0.25992145093576036,0.9155352697462233,0.009971445132246862
1988,0.2626644371437269,0.9005261997565273,0.008679809625630214
1989,0.2746109259603712,0.9333752796340962,0.01085030637340136
1990,0.2877982096457693,0.9174396400107084,0.011856246134565613
1991,0.28678796304806564,0.9300482796506672,0.010819760243904308
1992,0.2841949776910657,0.9067254104875077,0.01174922533739324
1993,0.2892117634578174,0.9351871870501911,0.013948980525106144
1994,0.2821706517525593,0.9225263247721947,0.012126835769194915
1995,0.26818538475721176,0.9248606857373275,0.013584002542857227
1996,0.2721076394359429,0.93249195516115,0.0076689443218223635
1997,0.2811263262010246,0.9313480145839659,0.010800573101095692
1998,0.10756117701879037,0.11830521202740034,0.09753843244194953
1999,0.104747005556353,0.1146642777279059,0.09558377072464716
2000,0.08200122722639405,0.0909341158231155,0.07387008503059604
2001,0.13424611224657063,0.14570065106247507,0.12377161855984882
2002,0.10455124390197847,0.1151036040089667,0.09546209660243112
2003,0.09502137885058173,0.10449418554778073,0.08606218148250472
2004,0.11042914468033727,0.11973620723842374,0.10094848200850212
2005,0.10304291713664732,0.1124835071606764,0.09400737201803812
2006,0.08106511063778504,0.08900114229737278,0.07297708705453203
2007,0.08621443631159495,0.09399600196426522,0.07877268518268456
2008,0.12282661007103221,0.13218033193974912,0.11394458917110478
2009,0.08937880857843328,0.09764955951012366,0.08190472750017709
2010,0.08108967902429866,0.08848764719636436,0.07450021422524883
2011,0.08632169047499871,0.09354894465022856,0.07956946336484218
2012,0.08463430937679434,0.09177795725055966,0.07827183267294975
2013,0.1010754489526915,0.10838295646834716,0.09401474967141125
2014,0.08817867022505385,0.09536080777270355,0.08150360962194016
2015,0.10152569505651113,0.10861132076383428,0.09454743377959568
2016,0.08470388510809208,0.09113539095677178,0.0786913999024216
2017,0.08511878166930852,0.09142881112356281,0.07889352892803331
2018,0.11346503133871151,0.12108313298283965,0.10577700469497948
