year,val,upperVal,lowerVal
1984,0.03215496062212186,0.0721957024856259,0.006761873185657304
1988,0.069424101873341,0.13392688591594046,0.01879296155048967
1989,0.05233582158063528,0.10970983039447199,0.01085808299072583
1990,0.05183137570542172,0.10401840481168109,0.013283585334790094
1991,0.053635012113188885,0.10230866888914722,0.013178425939184231
1992,0.03576782400990482,0.08026115138443683,0.007396716040746091
1993,0.042115050819741165,0.0778177064050547,0.0119545622599126
1994,0.017497172336901234,0.04478180772725438,0.0028415934204420287
1995,0.01632413882626924,0.04349439089917143,0.0025743471449148356
1996,0.029639452284179885,0.06304064202289178,0.006080177320307804
1997,0.03844074963618192,0.07006120082469831,0.011691554256426508
1998,0.020381273300243398,0.04592613146975187,0.0038866475931780466
1999,0.016700044702109826,0.038529525880135675,0.0031215645664629576
2000,0.025301567907164986,0.045336215752601196,0.00738988143787322
2001,0.019200654129202153,0.0401380205296808,0.0038921401866887453
2002,0.015256893236569837,0.03451043323116285,0.002828918865511184
2003,0.01390692352610928,0.03203489903498996,0.0026324064081367556
2004,0.009310302271021073,0.024594801578453594,0.0015644628282201515
2005,0.006532728382623953,0.018425648696660853,0.001005096182034117
2006,0.013267330650188692,0.0283743618587636,0.0029256334278657393
2007,0.007683116682283525,0.02097769630439259,0.0012524774242311533
2008,0.020612148252081686,0.04592298924738299,0.0031286931700258117
2009,0.01853387157228587,0.04499213522489197,0.003435816702997646
2010,0.03528591820964597,0.0740582749803714,0.007032355169871094
2011,0.020462088241203685,0.0597495973433936,0.0035887507664242196
2012,0.01618845649189672,0.04822277928436705,0.0028892194298628148
2013,0.015308401528180103,0.045172778422645936,0.0025801585133748118
2014,0.015460336013009616,0.045799560384621685,0.0018312752348632441
2015,0.019298105338423327,0.051437740983892415,0.003415299500358762
2016,0.011457868641770159,0.035085563632625126,0.001694377833233738
2017,0.012493043601047998,0.03727285837216964,0.0021498633321371374
2018,0.015189072971954336,0.04149988320355945,0.0024746143596877635
2019,0.03207219399237603,0.09574088223678344,0.004895972083990489
