lowerVal,val,upperVal,year,iFold
0.04162943234936381,0.044154106131340964,0.04509191616554822,1983,All
0.035868338623120145,0.03719018590382851,0.039209878632694616,1988,All
0.03669508787349087,0.037848607960744976,0.03960330401218019,1989,All
0.037521837123861604,0.03850703001766144,0.03999672939166576,1990,All
0.03834858637423232,0.0391654520745779,0.04039015477115133,1991,All
0.039175335624603055,0.03982387413149437,0.0407835801506369,1992,All
0.03999480240406447,0.040511426072048086,0.04117700553012247,1993,All
0.04080207976733506,0.0412477356773651,0.04160079899549052,1994,All
0.04160935713060565,0.04194118064560226,0.04203886940398334,1995,All
0.04234571328567476,0.042443936257563555,0.04285355279178717,1996,All
0.042750707048064746,0.0431159844160767,0.043692615120110585,1997,All
0.043144132427550316,0.04377440647299317,0.0445466523567376,1998,All
0.04128706460962291,0.04182876123506224,0.04250068528419923,1999,All
0.039429996791695524,0.03988311599713132,0.04045471821166086,2000,All
0.03757292897376812,0.0379374707592004,0.03840875113912249,2001,All
0.035715861155840724,0.03599182552126948,0.03637219718341674,2002,All
0.03385117441027331,0.034046180283338556,0.03443128869756407,2003,All
0.03195722381702648,0.03211865528352634,0.0324903802117114,2004,All
0.030011478474091743,0.030163748232374585,0.030566282723629525,2005,All
0.028045671999390415,0.028235251346626484,0.028642852539711588,2006,All
0.026047005502900022,0.026362007170804204,0.026719422355793658,2007,All
0.023995508263743068,0.02445508137219274,0.024804412577573022,2008,All
0.021944011024586107,0.02254584983493097,0.022889979234014965,2009,All
0.022277496075619133,0.02270140201621232,0.0229009594387809,2010,All
0.02260205939636785,0.022875193875500723,0.023036275968560473,2011,All
0.022851801857265822,0.02301250637877502,0.02325234953082824,2012,All
0.0228471548896661,0.02327459853021229,0.02359948120963466,2013,All
0.022840803115093178,0.023523048247656046,0.02395172830391266,2014,All
0.022834451340520256,0.023704554133355323,0.024320711356126776,2015,All
0.02282809956594733,0.023886060019054602,0.024689694408340894,2016,All
0.022821747791374407,0.024067565904753882,0.025058677460555016,2017,All
0.022815396016801485,0.024249071790453162,0.02542766051276913,2018,All
