lowerVal,val,upperVal,year,iFold
0.009034719888966682,0.03678670534405755,0.06908189896310311,1984,All
0.03430928681839225,0.0456043268049498,0.052230435042747395,1988,All
0.03535542961611339,0.04502102016901752,0.05085312805726237,1989,All
0.03640157241383452,0.044437713533085246,0.04947582107177736,1990,All
0.03744771521155566,0.04385440689715296,0.048098514086292336,1991,All
0.038493858009276787,0.043271100261220684,0.04672120710080732,1992,All
0.03954000080699793,0.042687793625288406,0.0453439001153223,1993,All
0.04056672134487937,0.04210448698935613,0.04396659312983728,1994,All
0.041236475399495626,0.041747358069392185,0.04258928614435226,1995,All
0.040897023572355855,0.04111784833835522,0.04267842920016134,1996,All
0.03983467217338223,0.04035456708155929,0.043724571997882475,1997,All
0.038457365187897205,0.03977126044562701,0.044770714795603614,1998,All
0.03731233607466835,0.038509837941375705,0.04242652074562236,1999,All
0.03612787166975108,0.03740615660387803,0.04022108629153503,2000,All
0.03494340726483381,0.03630247526638035,0.038471857095961716,2001,All
0.03375894285991654,0.03490452535685244,0.03679619504339598,2002,All
0.03251208164759965,0.03323639684899052,0.035250474447813346,2003,All
0.030412802206988547,0.03192942412966322,0.034069640896638526,2004,All
0.028127476590739116,0.030622451410335927,0.03315000704659204,2005,All
0.025842150974489685,0.029315478691008624,0.03223037319654555,2006,All
0.023545773729623146,0.028052712486149746,0.03131073934649907,2007,All
0.02123382865097111,0.026814567583607226,0.03040051800465899,2008,All
0.01892188357231907,0.025399972932029207,0.029534409100077787,2009,All
0.020283226084778085,0.025550266315252854,0.029612929884511075,2010,All
0.021627729846996274,0.02552254040447938,0.029752794242684476,2011,All
0.022917835920753665,0.025712405247549086,0.030400925318292058,2012,All
0.02420794199451106,0.025902270090618792,0.03187213107977651,2013,All
0.024150627930126657,0.026092134933688498,0.03334333684126096,2014,All
0.02383363458523565,0.02693560693476186,0.0348145426027454,2015,All
0.023510663197022597,0.02780299110912341,0.036285748364229854,2016,All
0.023187691808809544,0.028211891771279266,0.03787157500376573,2017,All
0.022864720420596493,0.028272901835143943,0.03954437429287439,2018,All
0.022541749032383436,0.028333911899008614,0.04121717358198306,2019,All
