year,val,upperVal,lowerVal
1985,0.041735544875288196,0.13097620728459972,0.006783819742145908
1988,0.04422830323603204,0.1366019222643131,0.006746148914259891
1989,0.04288904674114466,0.1335024960454607,0.00553508310715694
1990,0.04311527967682925,0.1348249149844072,0.006486788625712422
1991,0.043096046873729504,0.12801289389816495,0.0061571575019663234
1992,0.042405215847202096,0.13195926411717776,0.0058531574276504805
1993,0.04156709573751072,0.1306722845463368,0.005831094902926467
1994,0.042368010112297155,0.1332013530407756,0.006152450450424025
1995,0.04378346476363583,0.13833104608331986,0.005857005142412374
1996,0.04256333514356004,0.13640439261804016,0.0063191652024685045
1997,0.044317676641127346,0.13735169439694966,0.005816417722626531
1998,0.11790531111154484,0.13608900083797232,0.10169864910383844
1999,0.11435098438381353,0.13129550401216933,0.09872302023667234
2000,0.05054972961078731,0.06161268831108434,0.0398220615097947
2001,0.08245206166159885,0.09591462527716449,0.0699950334294572
2002,0.04950797721616677,0.06054106600002231,0.0398605997043757
2003,0.04438397187280618,0.1354067414590637,0.006554758197388099
2004,0.020699448197005803,0.02784932725217611,0.014736383942453106
2005,0.03321820226808937,0.03994512284710859,0.02749381728427182
2006,0.03984116326620743,0.04681598265223369,0.03373954192724887
2007,0.03481993011238431,0.04080754352815897,0.029381393165036497
2008,0.04125704483921323,0.12869278062806805,0.006646120368366143
2009,0.0422310602444069,0.14004962751593655,0.006582184980834637
2010,0.04210750371303688,0.13991235634979612,0.006185518103932243
2011,0.0407377326902371,0.1378611597868269,0.007412595897291599
2012,0.04174108433963535,0.1323272516556972,0.006248807101064546
2013,0.041879831866912604,0.13815042109250963,0.006031795140547167
2014,0.04377705723449775,0.1308797460133938,0.007974836548687995
2015,0.00864967212334854,0.023973348841113382,0.0016595408686876242
2016,0.017303634865015148,0.02933815032321516,0.007535181021723925
2017,0.011142352253589519,0.025722022369025807,0.0019047365179008543
2018,0.0836613106420705,0.10472763332557007,0.06507388108199758
2019,0.024044011786412196,0.07109652960211296,0.0036351537771148685
