year,val,upperVal,lowerVal
1984,0.04613284201826692,0.0960023758366973,0.01036915243235525
1988,0.03298659005365108,0.08061900492505528,0.005648527376301461
1989,0.0482966236476715,0.0906983424972755,0.013439003953190169
1990,0.015790359247204958,0.04317256273172358,0.002585103511781878
1991,0.011300646990820881,0.030087709444127156,0.0018682984756889834
1992,0.012281987402977108,0.03265365704199818,0.002006403724861923
1993,0.009378371617330836,0.027459503281550345,0.0014624908211140692
1994,0.005310731726284332,0.016571600907836874,8.281828051429607e-4
1995,0.00504345409845793,0.016020065917296034,7.892085540299541e-4
1996,0.005073369761500456,0.014285611205260411,7.634568591765446e-4
1997,0.004080397754826072,0.013078436226646327,6.727820979120925e-4
1998,0.005381178197526778,0.014047472972839576,9.77816986109605e-4
1999,0.004780793906546343,0.011484190237470607,9.048951991519583e-4
2000,0.0010534227706055868,0.0035212626920998126,1.7512756841157954e-4
2001,0.013191648418964617,0.022017933010245974,0.005699095346577341
2002,0.0012842095636111956,0.004160389336803998,1.8389949588393416e-4
2003,0.005946970930864687,0.018098366473807356,9.428584224842498e-4
2004,0.0017319908150255905,0.004971186646753918,2.6786213954369176e-4
2005,0.0026070305970642823,0.006758672457366884,4.7243892060287116e-4
2006,0.006621460994149167,0.011728282095695678,0.0021558323462392854
2007,0.0019868850686491444,0.005553982421678151,3.27930929047878e-4
2008,0.029330160414378973,0.08338597035142745,0.004034666295809537
2009,0.022037923528064683,0.06712603527421984,0.003214075177503589
2010,0.019048379334237656,0.05841351036979098,0.0029730821358593964
2011,0.016209363530800283,0.049993737114139625,0.0024759172593798342
2012,0.01336629224837297,0.04425808588254769,0.0019556411805671443
2013,0.012668560053897266,0.04116579144405223,0.001568616376255803
2014,0.011880112681734846,0.03761567221578348,0.001550685898108012
2015,0.004989759086872773,0.016210202787069864,6.835183279092287e-4
2016,0.002495150701806925,0.0077709769057732895,4.1313985872373625e-4
2017,0.002490508047994528,0.00797579269328131,4.0873623110155335e-4
2018,0.016352128368504,0.03075098732463969,0.005064333207238791
2019,0.022168625536273537,0.057555931613690256,0.0036168276007474526
