lowerVal,val,upperVal,year,iFold
0.0036297392025143394,0.013388688459129883,0.045698845399309775,1984,All
0.035357043582651036,0.041602290087251706,0.05327090566188276,1988,All
0.033236178160276936,0.038869376962678635,0.04899592413375935,1989,All
0.031115312737902835,0.03613646383810556,0.04472094260563594,1990,All
0.028994447315528728,0.03340355071353249,0.04044596107751253,1991,All
0.026873581893154627,0.03067063758895941,0.036170979549389116,1992,All
0.024752716470780527,0.027868022349919502,0.031913423549882414,1993,All
0.02261540892449511,0.02478007407223398,0.027727200810037118,1994,All
0.020435475582031213,0.021256379267251616,0.023660701851159045,1995,All
0.01670427400096833,0.01857638637042506,0.02056903426212957,1996,All
0.012847739960182753,0.01581307850028483,0.01823202088647974,1997,All
0.008846839621349429,0.013108967751000672,0.016024574528663633,1998,All
0.009614082332577071,0.012934870852034902,0.015059094218009196,1999,All
0.010083842116608944,0.012653341127297851,0.014120472113797576,2000,All
0.009854111958183297,0.012208585118252816,0.013996597546188058,2001,All
0.009478045994025746,0.01213535317050646,0.013999716688166375,2002,All
0.009101980029868202,0.011949264851594124,0.014031049922936188,2003,All
0.008667287672596388,0.011527222228349659,0.014179998126903303,2004,All
0.008197467090697718,0.011245692503612612,0.014980142153423028,2005,All
0.007673625601335319,0.010964162778875564,0.015799895198363095,2006,All
0.006682493163411274,0.010682633054138517,0.016619648243303156,2007,All
0.00569136072548723,0.01040110332940147,0.017439401288243228,2008,All
0.004700228287563184,0.010119573604664419,0.018259154333183293,2009,All
0.008614345073104025,0.01275243301468314,0.01837987697465928,2010,All
0.012165964165722768,0.015339881701220828,0.01887444998992762,2011,All
0.01405155897549131,0.01795003574949903,0.02183964680903301,2012,All
0.014359845640184513,0.01977607191934356,0.026610150238842358,2013,All
0.014233441860605689,0.022658317591594174,0.03155129173732221,2014,All
0.014095182403379047,0.02558798597443604,0.03649243323580207,2015,All
0.01395692294615241,0.028390651942611846,0.041465325337948444,2016,All
0.01381866348892577,0.031000805990890046,0.04648634542006922,2017,All
0.013680404031699133,0.033610960039168254,0.05150736550218999,2018,All
0.013542144574472495,0.03622111408744645,0.05652838558431077,2019,All
