iTime,year,age,S,Val,lowerVal,upperVal
1,1998,3,0,0.7727710340105034,0.705288257325404,0.8509334082617761
1,1998,3,1,0.20575773665489216,0.1401681103654441,0.2573173572335194
1,1998,3,2,0.02054436830633998,0.00865833013220912,0.03520488007151069
1,1998,3,3,9.116893964629696e-4,2.3770403614428872e-4,0.00214069220711996
1,1998,3,4,1.5171631801548308e-5,2.447204426419045e-6,4.881316244573957e-5
1,1998,4,0,0.7262829542227995,0.6608567244572082,0.7901951422027531
1,1998,4,1,0.24181482921635916,0.19165745575673648,0.28841451970358295
1,1998,4,2,0.03019195817399299,0.01743204550638066,0.04720176540797479
1,1998,4,3,0.00167539462652986,7.046743551158218e-4,0.00343334063022313
1,1998,4,4,3.4863760318454404e-5,1.0682179013893477e-5,9.364980101078484e-5
1,1998,5,0,0.6965548264728483,0.6321039454147555,0.7611203746267149
1,1998,5,1,0.2636165829363766,0.21501112252689392,0.3072260020485904
1,1998,5,2,0.03741290384201661,0.02277717052520447,0.05599621927279864
1,1998,5,3,0.0023598673644614,0.00107239826337705,0.00453604050061158
1,1998,5,4,5.581938429716336e-5,1.8934057809662804e-5,1.3779276324389454e-4
1,1998,6,0,0.6097301953499689,0.5505544064082428,0.7008967442676486
1,1998,6,1,0.32110582402031573,0.2604960088768003,0.3543670029325781
1,1998,6,2,0.06341469827705487,0.0363060810334636,0.08553376309446148
1,1998,6,3,0.00556607636694275,0.00224892593830658,0.00917570344079592
1,1998,6,4,1.832059857177451e-4,5.223988378105129e-5,3.691241239216153e-4
1,1998,7,0,0.5610790772900824,0.5087516654115264,0.6256376632454952
1,1998,7,1,0.34883612522178864,0.31130720358512987,0.37456237576052087
1,1998,7,2,0.08132987483679043,0.0580880416946191,0.10341266604439056
1,1998,7,3,0.00842745104982595,0.00481727894602339,0.01268939186274818
1,1998,7,4,3.274716015126012e-4,1.4981252873239628e-4,5.83900920813935e-4
1,1998,8,0,0.5138688906151354,0.45968400183623453,0.5789375373238841
1,1998,8,1,0.3722480147557049,0.33906185862138843,0.3943452856168344
1,1998,8,2,0.10112155183138656,0.0744658990336525,0.1268601397657049
1,1998,8,3,0.01220878784823024,0.00726864435581006,0.01813807530217456
1,1998,8,4,5.527549495429698e-4,2.660606652648662e-4,9.7249747905156e-4
1,1998,9,0,0.4599592658233661,0.4070553591732307,0.5187748358229841
1,1998,9,1,0.3942470456039019,0.3699868172147491,0.4102287204899904
1,1998,9,2,0.12672106419927295,0.09895206643807268,0.15503507063362565
1,1998,9,3,0.01810283854552689,0.0117619944288934,0.02604062228075168
1,1998,9,4,9.697858279321694e-4,5.242860953007265e-4,0.0016402274224014
1,1998,10,0,0.3744277669989493,0.31550838348823684,0.4338155584827508
1,1998,10,1,0.4169240800472464,0.4028910373794264,0.4218488764677742
1,1998,10,2,0.17409134402846882,0.1403141140817762,0.2115365047194033
1,1998,10,3,0.03230835595693686,0.02171863839545713,0.04714174818469908
1,1998,10,4,0.00224845296839863,0.00126065166058936,0.00393964721272232
1,1998,11,0,0.3071977168780766,0.26448542075005216,0.35838320792749356
1,1998,11,1,0.4214853546175843,0.4172790391953526,0.4218741163667172
1,1998,11,2,0.21712084872366297,0.1839061640803959,0.2468954029801089
1,1998,11,3,0.04967940854134672,0.03585532983975031,0.06492347450051872
1,1998,11,4,0.00426267845296677,0.00262145512790488,0.0064020899608554
1,1998,12,0,0.2744879583759959,0.2381573618635776,0.30639390903963126
1,1998,12,1,0.41893249340721506,0.4110365111090229,0.421714458344827
1,1998,12,2,0.23977067394884752,0.21766475992535128,0.2660284350569136
1,1998,12,3,0.06099097321888349,0.04993157155889582,0.07652321398013838
1,1998,12,4,0.00581790104905803,0.00429530113129458,0.00825447799034744
1,1998,13,0,0.24251639744354883,0.18776244220212404,0.293023369140971
1,1998,13,1,0.4122774255225424,0.38990002807427543,0.4209832182266806
1,1998,13,2,0.26282657191135445,0.22680810955112335,0.30361909077553806
1,1998,13,3,0.07446744745963323,0.05430875620673481,0.10508055704752545
1,1998,13,4,0.00791215766292111,0.00487654687449021,0.01363788190053695
1,1998,14,0,0.21411389043393708,0.1452031704075645,0.28586643785025667
1,1998,14,1,0.40259630865448864,0.3600842729851614,0.42033842326538473
1,1998,14,2,0.2838742549340051,0.2317748376094434,0.33486016598786483
1,1998,14,3,0.08896101167953852,0.05680034428523088,0.1384013470093893
1,1998,14,4,0.01045453429803073,0.00521995698968428,0.02145104361001991
1,1998,15,0,0.18803139348887188,0.11120796512401404,0.28229547790412857
1,1998,15,1,0.3900497264059819,0.32547168535143745,0.4199483280129468
1,1998,15,2,0.3034176645333365,0.2342712879635264,0.3572085577410331
1,1998,15,3,0.1049009036722063,0.05808443396400038,0.17424006909211728
1,1998,15,4,0.01360031189960345,0.00540047215539786,0.03187172269139796
1,1998,16,0,0.16589035589115597,0.08485786671443911,0.2779660208308634
1,1998,16,1,0.3761811939716539,0.289464881667977,0.419412954003581
1,1998,16,2,0.3198926709678822,0.23731395222974713,0.3700810150030768
1,1998,16,3,0.12090074632055808,0.0596790938963359,0.21051519451082973
1,1998,16,4,0.01713503284874978,0.0056279790394725,0.04488148737835105
1,1998,17,0,0.1467668587875113,0.06506231982506648,0.2741948804848002
1,1998,17,1,0.3614187071482285,0.2550471682736905,0.4188899170690716
1,1998,17,2,0.3337525001113302,0.23997818958093245,0.3744832944815093
1,1998,17,3,0.13697960586186358,0.06110280584824439,0.24495282653235367
1,1998,17,4,0.02108232809106649,0.00583420701695133,0.06001412002269018
1,1998,18,0,0.1294392643705667,0.04943070589122385,0.27093621597662915
1,1998,18,1,0.3454391394540355,0.22160878439040144,0.4183946994530813
1,1998,18,2,0.3457071154042045,0.2422906051025894,0.3749082574841348
1,1998,18,3,0.15376679985221836,0.0623597660186864,0.27838595165743885
1,1998,18,4,0.02564768091897498,0.00601871344901371,0.07800411256899246
1,1998,19,0,0.1140040501894836,0.03812936131946316,0.26815069748206827
1,1998,19,1,0.32876790321389,0.19262996764054377,0.41793911209490736
1,1998,19,2,0.3551312821154303,0.2442746329329553,0.3749722083627843
1,1998,19,3,0.1708864935921598,0.06345432168787465,0.30727881523487793
1,1998,19,4,0.03080044095854506,0.00618123580219443,0.09702352896368908
1,1998,20,0,0.1005423981745192,0.02924909983102734,0.2645864655515943
1,1998,20,1,0.3120338194272799,0.16591104014653213,0.4173121152168274
1,1998,20,2,0.3607472172030515,0.24682300142999727,0.3749778098687688
1,1998,20,3,0.1878393361948727,0.06488252564035689,0.33364212375129987
1,1998,20,4,0.03643501858992448,0.00639589216122425,0.11828336922640016
